Local time,Ask,Bid,AskVolume,BidVolume
29.03.2021 06:30:00.952 GMT-0700,62.812,62.038000000000004,0.011,0.011
29.03.2021 06:30:10.290 GMT-0700,62.402,60.608000000000004,0.011,0.011
29.03.2021 06:30:18.569 GMT-0700,62.392,61.558,0.0075,0.011
29.03.2021 06:30:20.912 GMT-0700,62.352,61.558,0.0008,0.011
29.03.2021 06:30:21.013 GMT-0700,62.282,61.558,0.011,0.011
29.03.2021 06:30:21.417 GMT-0700,62.183,61.557,0.0008,0.011
29.03.2021 06:30:21.467 GMT-0700,62.182,61.558,0.011,0.011
29.03.2021 06:30:21.518 GMT-0700,62.193000000000005,61.557,0.011,0.011
29.03.2021 06:30:21.568 GMT-0700,62.093,61.557,0.011,0.011
29.03.2021 06:30:21.921 GMT-0700,62.083000000000006,61.557,0.0075,0.011
29.03.2021 06:30:22.387 GMT-0700,62.083000000000006,61.827,0.0008,0.0075
29.03.2021 06:30:22.747 GMT-0700,62.332,62.088,0.011,0.011
29.03.2021 06:30:23.151 GMT-0700,62.303000000000004,62.086999999999996,0.0008,0.0075
29.03.2021 06:30:23.715 GMT-0700,62.153000000000006,61.607,0.011,0.011
29.03.2021 06:30:23.919 GMT-0700,62.132,61.608000000000004,0.0075,0.011
29.03.2021 06:30:24.720 GMT-0700,62.132,61.618,0.011,0.011
29.03.2021 06:30:24.975 GMT-0700,62.132,61.608000000000004,0.011,0.011
29.03.2021 06:30:25.414 GMT-0700,62.123000000000005,61.607,0.0075,0.011
29.03.2021 06:30:25.902 GMT-0700,62.123000000000005,61.617,0.011,0.0075
29.03.2021 06:30:26.189 GMT-0700,62.123000000000005,61.607,0.011,0.011
29.03.2021 06:30:29.032 GMT-0700,62.122,61.608000000000004,0.011,0.011
29.03.2021 06:30:29.383 GMT-0700,62.123000000000005,61.607,0.011,0.011
29.03.2021 06:30:30.178 GMT-0700,62.053000000000004,61.607,0.0008,0.011
29.03.2021 06:30:30.228 GMT-0700,62.092,61.618,0.011,0.011
29.03.2021 06:30:30.278 GMT-0700,61.992,61.618,0.011,0.011
29.03.2021 06:30:30.379 GMT-0700,61.992,61.858000000000004,0.011,0.011
29.03.2021 06:30:30.658 GMT-0700,61.993,61.867,0.011,0.0075
29.03.2021 06:30:31.074 GMT-0700,61.993,61.867,0.011,0.011
29.03.2021 06:30:31.174 GMT-0700,61.993,61.867,0.011,0.011
29.03.2021 06:30:31.225 GMT-0700,61.993,61.887,0.011,0.011
29.03.2021 06:30:32.159 GMT-0700,61.952,61.888000000000005,0.0075,0.011
29.03.2021 06:30:32.209 GMT-0700,62.033,61.877,0.011,0.011
29.03.2021 06:30:32.260 GMT-0700,62.032,61.868,0.011,0.011
29.03.2021 06:30:32.310 GMT-0700,61.973000000000006,61.867,0.011,0.011
29.03.2021 06:30:32.360 GMT-0700,61.862,61.508,0.011,0.011
29.03.2021 06:30:32.410 GMT-0700,61.972,61.808,0.011,0.011
29.03.2021 06:30:33.598 GMT-0700,61.933,61.836999999999996,0.011,0.011
29.03.2021 06:30:33.648 GMT-0700,61.933,61.807,0.011,0.011
29.03.2021 06:30:40.046 GMT-0700,61.943000000000005,61.807,0.011,0.011
29.03.2021 06:30:40.121 GMT-0700,61.873000000000005,61.807,0.0075,0.011
29.03.2021 06:30:40.240 GMT-0700,61.842,61.758,0.0075,0.011
29.03.2021 06:30:40.290 GMT-0700,61.812,61.508,0.011,0.011
29.03.2021 06:30:40.341 GMT-0700,61.952,61.508,0.011,0.011
29.03.2021 06:30:40.627 GMT-0700,61.953,61.677,0.011,0.0075
29.03.2021 06:30:40.678 GMT-0700,61.953,61.507,0.011,0.011
29.03.2021 06:30:40.733 GMT-0700,61.793000000000006,61.507,0.0008,0.011
29.03.2021 06:30:41.186 GMT-0700,61.793000000000006,61.647,0.011,0.011
29.03.2021 06:30:41.400 GMT-0700,61.792,61.658,0.011,0.011
29.03.2021 06:30:41.510 GMT-0700,61.792,61.648,0.011,0.011
29.03.2021 06:30:41.585 GMT-0700,61.793000000000006,61.697,0.011,0.0075
29.03.2021 06:30:41.635 GMT-0700,61.792,61.638000000000005,0.011,0.011
29.03.2021 06:30:41.685 GMT-0700,61.793000000000006,61.667,0.011,0.011
29.03.2021 06:30:41.736 GMT-0700,61.793000000000006,61.657,0.011,0.011
