Local time,Ask,Bid,AskVolume,BidVolume
12.04.2021 08:30:01.144 GMT-0500,207.86200000000002,207.008,0.011,0.011
12.04.2021 08:30:01.282 GMT-0500,207.863,207.01700000000002,0.011,0.0075
12.04.2021 08:30:01.332 GMT-0500,207.863,207.007,0.011,0.011
12.04.2021 08:30:01.418 GMT-0500,207.86200000000002,207.088,0.011,0.0008
12.04.2021 08:30:01.947 GMT-0500,207.39200000000002,207.088,0.0075,0.011
12.04.2021 08:30:02.079 GMT-0500,207.39200000000002,207.188,0.011,0.0075
12.04.2021 08:30:02.129 GMT-0500,207.393,207.08700000000002,0.011,0.011
12.04.2021 08:30:02.782 GMT-0500,207.293,207.08700000000002,0.0075,0.011
12.04.2021 08:30:02.832 GMT-0500,207.393,207.08700000000002,0.011,0.011
12.04.2021 08:30:02.882 GMT-0500,207.292,207.088,0.011,0.011
12.04.2021 08:30:03.106 GMT-0500,207.192,207.088,0.0075,0.0008
12.04.2021 08:30:03.156 GMT-0500,207.092,206.758,0.011,0.011
12.04.2021 08:30:03.207 GMT-0500,207.17200000000003,206.758,0.011,0.011
12.04.2021 08:30:03.940 GMT-0500,207.153,206.757,0.0075,0.011
12.04.2021 08:30:06.401 GMT-0500,207.173,206.757,0.011,0.011
12.04.2021 08:30:07.637 GMT-0500,207.15200000000002,206.758,0.0008,0.011
12.04.2021 08:30:07.738 GMT-0500,207.173,206.757,0.011,0.011
12.04.2021 08:30:07.812 GMT-0500,207.153,206.757,0.0075,0.011
12.04.2021 08:30:07.912 GMT-0500,207.17200000000003,206.758,0.011,0.011
12.04.2021 08:30:18.019 GMT-0500,207.173,206.76700000000002,0.0075,0.0008
12.04.2021 08:30:18.069 GMT-0500,207.243,206.76700000000002,0.011,0.011
12.04.2021 08:30:18.489 GMT-0500,207.52200000000002,207.058,0.0008,0.011
12.04.2021 08:30:19.431 GMT-0500,207.523,207.067,0.011,0.011
12.04.2021 08:30:19.481 GMT-0500,207.52200000000002,207.058,0.011,0.011
12.04.2021 08:30:20.048 GMT-0500,207.52200000000002,207.06799999999998,0.011,0.0008
12.04.2021 08:30:20.508 GMT-0500,207.523,207.05700000000002,0.011,0.011
12.04.2021 08:30:21.169 GMT-0500,207.502,207.058,0.001,0.001
12.04.2021 08:30:22.418 GMT-0500,207.542,207.06799999999998,0.001,0.001
