Local time,Ask,Bid,AskVolume,BidVolume
12.04.2021 08:30:00.770 GMT-0500,161.192,161.008,0.1,0.1
12.04.2021 08:30:01.416 GMT-0500,161.19299999999998,161.007,0.1,0.1
12.04.2021 08:30:01.468 GMT-0500,161.192,161.008,0.1,0.1
12.04.2021 08:30:01.519 GMT-0500,161.19299999999998,161.037,0.1,0.1
12.04.2021 08:30:01.736 GMT-0500,161.192,161.078,0.1,0.075
12.04.2021 08:30:02.838 GMT-0500,161.19299999999998,161.037,0.1,0.1
12.04.2021 08:30:03.762 GMT-0500,161.19299999999998,161.08700000000002,0.1,0.075
12.04.2021 08:30:03.812 GMT-0500,161.192,161.03799999999998,0.1,0.1
12.04.2021 08:30:04.050 GMT-0500,161.088,161.037,0.075,0.1
12.04.2021 08:30:04.101 GMT-0500,161.192,161.03799999999998,0.1,0.1
12.04.2021 08:30:04.228 GMT-0500,161.153,161.037,0.075,0.1
12.04.2021 08:30:04.904 GMT-0500,161.072,161.03799999999998,0.1,0.1
12.04.2021 08:30:04.954 GMT-0500,161.153,161.037,0.1,0.1
12.04.2021 08:30:05.893 GMT-0500,161.153,161.007,0.1,0.1
12.04.2021 08:30:06.419 GMT-0500,161.153,160.597,0.1,0.1
12.04.2021 08:30:06.469 GMT-0500,161.153,160.597,0.1,0.1
12.04.2021 08:30:06.666 GMT-0500,161.013,160.947,0.1,0.1
12.04.2021 08:30:06.943 GMT-0500,160.97299999999998,160.597,0.1,0.1
12.04.2021 08:30:07.043 GMT-0500,161.012,160.84799999999998,0.1,0.1
12.04.2021 08:30:07.371 GMT-0500,160.933,160.847,0.1,0.1
12.04.2021 08:30:07.485 GMT-0500,161.012,160.888,0.1,0.1
12.04.2021 08:30:07.753 GMT-0500,160.972,160.888,0.075,0.1
12.04.2021 08:30:09.639 GMT-0500,160.972,160.898,0.1,0.075
12.04.2021 08:30:11.249 GMT-0500,160.97299999999998,160.92700000000002,0.1,0.1
12.04.2021 08:30:11.300 GMT-0500,160.972,160.898,0.1,0.1
12.04.2021 08:30:11.379 GMT-0500,160.972,160.898,0.1,0.1
12.04.2021 08:30:11.662 GMT-0500,160.99200000000002,160.918,0.1,0.1
12.04.2021 08:30:11.791 GMT-0500,160.99200000000002,160.938,0.1,0.075
12.04.2021 08:30:11.841 GMT-0500,160.993,160.917,0.1,0.1
12.04.2021 08:30:12.073 GMT-0500,160.972,160.918,0.1,0.1
12.04.2021 08:30:12.124 GMT-0500,160.99200000000002,160.918,0.1,0.1
12.04.2021 08:30:12.225 GMT-0500,161.063,160.89700000000002,0.1,0.1
12.04.2021 08:30:12.275 GMT-0500,161.063,160.997,0.1,0.1
12.04.2021 08:30:12.349 GMT-0500,161.192,161.018,0.1,0.1
12.04.2021 08:30:12.973 GMT-0500,161.19299999999998,160.997,0.1,0.075
12.04.2021 08:30:13.073 GMT-0500,161.15200000000002,160.898,0.1,0.1
12.04.2021 08:30:13.124 GMT-0500,161.15200000000002,160.998,0.1,0.1
12.04.2021 08:30:14.451 GMT-0500,161.092,160.998,0.1,0.1
12.04.2021 08:30:14.562 GMT-0500,161.153,160.997,0.1,0.1
12.04.2021 08:30:14.846 GMT-0500,161.092,160.998,0.075,0.1
12.04.2021 08:30:14.946 GMT-0500,161.15200000000002,160.998,0.1,0.1
12.04.2021 08:30:15.313 GMT-0500,161.143,160.997,0.1,0.1
12.04.2021 08:30:15.438 GMT-0500,161.15200000000002,160.998,0.1,0.1
12.04.2021 08:30:15.539 GMT-0500,161.01500000000001,160.997,0.0008,0.075
12.04.2021 08:30:15.589 GMT-0500,161.15200000000002,160.898,0.1,0.1
12.04.2021 08:30:15.649 GMT-0500,161.15200000000002,160.998,0.1,0.1
12.04.2021 08:30:16.848 GMT-0500,161.092,160.998,0.075,0.1
12.04.2021 08:30:17.020 GMT-0500,161.15200000000002,160.998,0.1,0.1
12.04.2021 08:30:18.336 GMT-0500,161.143,160.997,0.075,0.1
12.04.2021 08:30:18.436 GMT-0500,161.15200000000002,160.998,0.1,0.1
12.04.2021 08:30:18.905 GMT-0500,161.143,160.997,0.075,0.1
12.04.2021 08:30:18.955 GMT-0500,161.15200000000002,160.938,0.1,0.1
12.04.2021 08:30:19.087 GMT-0500,161.062,160.938,0.075,0.1
12.04.2021 08:30:20.136 GMT-0500,161.062,160.898,0.1,0.1
12.04.2021 08:30:20.536 GMT-0500,161.08200000000002,160.898,0.1,0.1
12.04.2021 08:30:20.586 GMT-0500,161.003,160.89700000000002,0.001,0.001
12.04.2021 08:30:20.714 GMT-0500,160.942,160.898,0.001,0.001
12.04.2021 08:30:21.333 GMT-0500,160.99200000000002,160.918,0.001,0.001
12.04.2021 08:30:21.801 GMT-0500,160.953,160.917,0.001,0.001
12.04.2021 08:30:22.739 GMT-0500,160.94299999999998,160.917,0.001,0.001
12.04.2021 08:30:22.946 GMT-0500,160.942,160.898,0.001,0.001
12.04.2021 08:30:23.784 GMT-0500,161.083,160.937,0.001,0.001
12.04.2021 08:30:23.834 GMT-0500,161.073,160.937,0.001,0.001
12.04.2021 08:30:23.911 GMT-0500,161.083,160.937,0.001,0.001
12.04.2021 08:30:24.524 GMT-0500,160.99200000000002,160.938,0.1,0.1
12.04.2021 08:30:25.705 GMT-0500,160.993,160.938,0.075,0.1
12.04.2021 08:30:25.755 GMT-0500,161.08200000000002,160.958,0.1,0.1
12.04.2021 08:30:25.902 GMT-0500,161.032,160.958,0.075,0.1
12.04.2021 08:30:26.167 GMT-0500,161.072,160.958,0.1,0.1
12.04.2021 08:30:26.217 GMT-0500,161.033,160.95700000000002,0.075,0.1
12.04.2021 08:30:26.418 GMT-0500,161.033,160.83700000000002,0.1,0.1
12.04.2021 08:30:26.619 GMT-0500,161.043,160.83700000000002,0.1,0.1
12.04.2021 08:30:26.670 GMT-0500,160.99200000000002,160.838,0.1,0.1
