Local time,Ask,Bid,AskVolume,BidVolume
12.04.2021 08:30:00.625 GMT-0500,71.003,70.497,0.0075,0.011
12.04.2021 08:30:00.775 GMT-0500,70.952,70.498,0.011,0.011
12.04.2021 08:30:00.876 GMT-0500,70.85300000000001,70.497,0.011,0.011
12.04.2021 08:30:01.189 GMT-0500,70.85300000000001,70.497,0.0075,0.011
12.04.2021 08:30:01.240 GMT-0500,70.902,70.498,0.011,0.011
12.04.2021 08:30:01.517 GMT-0500,70.903,70.757,0.011,0.0075
12.04.2021 08:30:10.232 GMT-0500,70.903,70.747,0.011,0.011
12.04.2021 08:30:13.420 GMT-0500,70.903,70.567,0.011,0.011
12.04.2021 08:30:13.640 GMT-0500,70.902,70.668,0.011,0.011
12.04.2021 08:30:19.253 GMT-0500,70.782,70.668,0.0075,0.011
12.04.2021 08:30:19.303 GMT-0500,70.902,70.50800000000001,0.011,0.011
12.04.2021 08:30:19.431 GMT-0500,70.903,70.507,0.011,0.011
12.04.2021 08:30:24.895 GMT-0500,70.783,70.667,0.0075,0.011
12.04.2021 08:30:26.478 GMT-0500,70.783,70.677,0.011,0.011
12.04.2021 08:30:26.765 GMT-0500,70.782,70.668,0.011,0.011
12.04.2021 08:30:33.546 GMT-0500,70.782,70.678,0.011,0.011
12.04.2021 08:30:33.596 GMT-0500,70.783,70.667,0.011,0.011
12.04.2021 08:30:34.602 GMT-0500,70.732,70.668,0.0008,0.0075
12.04.2021 08:30:34.653 GMT-0500,70.782,70.61800000000001,0.011,0.011
12.04.2021 08:30:34.850 GMT-0500,70.782,70.61800000000001,0.011,0.011
12.04.2021 08:30:41.387 GMT-0500,70.783,70.667,0.0075,0.011
12.04.2021 08:30:41.437 GMT-0500,70.793,70.667,0.011,0.011
12.04.2021 08:30:41.891 GMT-0500,70.792,70.708,0.011,0.0075
12.04.2021 08:30:42.034 GMT-0500,70.742,70.708,0.0008,0.011
12.04.2021 08:30:42.084 GMT-0500,70.792,70.708,0.011,0.011
12.04.2021 08:30:48.751 GMT-0500,70.793,70.627,0.011,0.011
12.04.2021 08:30:48.852 GMT-0500,70.793,70.587,0.011,0.011
12.04.2021 08:30:48.939 GMT-0500,70.792,70.658,0.011,0.0075
12.04.2021 08:30:56.103 GMT-0500,70.792,70.668,0.011,0.011
12.04.2021 08:30:56.206 GMT-0500,70.793,70.657,0.011,0.011
12.04.2021 08:30:56.264 GMT-0500,70.793,70.667,0.011,0.0075
12.04.2021 08:30:56.419 GMT-0500,70.792,70.658,0.011,0.011
12.04.2021 08:31:00.106 GMT-0500,71.043,70.727,0.011,0.011
12.04.2021 08:31:00.206 GMT-0500,70.96300000000001,70.767,0.011,0.011
12.04.2021 08:31:00.257 GMT-0500,70.96300000000001,70.757,0.011,0.011
12.04.2021 08:31:02.139 GMT-0500,70.962,70.75800000000001,0.011,0.011
12.04.2021 08:31:02.240 GMT-0500,70.96300000000001,70.757,0.011,0.011
12.04.2021 08:31:05.212 GMT-0500,70.933,70.757,0.011,0.011
12.04.2021 08:31:06.515 GMT-0500,70.923,70.757,0.011,0.011
12.04.2021 08:31:15.133 GMT-0500,70.922,70.768,0.011,0.0075
12.04.2021 08:31:15.672 GMT-0500,70.933,70.767,0.011,0.011
12.04.2021 08:31:16.202 GMT-0500,70.932,70.778,0.011,0.0075
12.04.2021 08:31:16.310 GMT-0500,70.923,70.777,0.0075,0.011
12.04.2021 08:31:18.050 GMT-0500,70.912,70.778,0.0075,0.011
