Local time,Ask,Bid,AskVolume,BidVolume
06.04.2021 08:30:01.066 GMT-0500,79.653,78.717,0.001,0.001
06.04.2021 08:30:14.487 GMT-0500,79.422,79.298,0.001,0.001
06.04.2021 08:30:14.577 GMT-0500,79.433,79.297,0.001,0.001
06.04.2021 08:30:15.154 GMT-0500,79.422,79.318,0.001,0.001
06.04.2021 08:30:15.241 GMT-0500,79.432,79.318,0.001,0.001
06.04.2021 08:30:15.292 GMT-0500,79.432,79.298,0.001,0.001
06.04.2021 08:30:16.686 GMT-0500,79.432,79.218,0.001,0.001
06.04.2021 08:30:16.736 GMT-0500,79.432,79.318,0.001,0.001
06.04.2021 08:30:16.963 GMT-0500,79.532,79.348,0.001,0.001
06.04.2021 08:30:17.063 GMT-0500,79.423,79.317,0.001,0.001
06.04.2021 08:30:18.481 GMT-0500,79.422,79.328,0.001,0.001
06.04.2021 08:30:18.720 GMT-0500,79.533,79.317,0.001,0.001
06.04.2021 08:30:19.473 GMT-0500,79.452,79.218,0.001,0.001
06.04.2021 08:30:19.524 GMT-0500,79.462,79.218,0.001,0.001
06.04.2021 08:30:19.574 GMT-0500,79.462,79.328,0.001,0.001
06.04.2021 08:30:19.624 GMT-0500,79.46300000000001,79.217,0.001,0.001
06.04.2021 08:30:20.053 GMT-0500,79.413,79.297,0.001,0.001
06.04.2021 08:30:20.104 GMT-0500,79.46300000000001,79.297,0.001,0.001
06.04.2021 08:30:21.780 GMT-0500,79.46300000000001,79.307,0.001,0.001
06.04.2021 08:30:21.890 GMT-0500,79.442,79.308,0.001,0.001
06.04.2021 08:30:22.185 GMT-0500,79.442,79.318,0.001,0.001
06.04.2021 08:30:22.344 GMT-0500,79.432,79.318,0.001,0.001
06.04.2021 08:30:25.789 GMT-0500,79.452,79.318,0.001,0.001
06.04.2021 08:30:25.860 GMT-0500,79.452,79.308,0.001,0.001
06.04.2021 08:30:26.098 GMT-0500,79.453,79.327,0.001,0.001
06.04.2021 08:30:27.127 GMT-0500,79.452,79.408,0.001,0.001
06.04.2021 08:30:27.177 GMT-0500,79.452,79.358,0.001,0.001
06.04.2021 08:30:27.228 GMT-0500,79.452,79.33800000000001,0.001,0.001
06.04.2021 08:30:27.461 GMT-0500,79.452,79.328,0.001,0.001
06.04.2021 08:30:27.774 GMT-0500,79.452,79.33800000000001,0.001,0.001
06.04.2021 08:30:27.998 GMT-0500,79.452,79.358,0.001,0.001
06.04.2021 08:30:29.273 GMT-0500,79.452,79.348,0.001,0.001
06.04.2021 08:30:29.589 GMT-0500,79.46300000000001,79.347,0.001,0.001
06.04.2021 08:30:29.660 GMT-0500,79.46300000000001,79.337,0.001,0.001
06.04.2021 08:30:30.255 GMT-0500,79.46300000000001,79.367,0.001,0.001
06.04.2021 08:30:30.964 GMT-0500,79.46300000000001,79.347,0.001,0.001
