Local time,Ask,Bid,AskVolume,BidVolume
07.04.2021 08:30:02.020 GMT-0500,361.273,360.597,0.011,0.011
07.04.2021 08:30:02.070 GMT-0500,360.95300000000003,359.707,0.011,0.011
07.04.2021 08:30:02.120 GMT-0500,360.94300000000004,359.707,0.011,0.011
07.04.2021 08:30:02.179 GMT-0500,360.95300000000003,359.707,0.011,0.011
07.04.2021 08:30:02.775 GMT-0500,360.952,360.42800000000005,0.011,0.011
07.04.2021 08:30:02.899 GMT-0500,360.952,360.43800000000005,0.011,0.011
07.04.2021 08:30:03.135 GMT-0500,360.952,360.478,0.011,0.0008
07.04.2021 08:30:04.349 GMT-0500,360.94300000000004,360.477,0.0008,0.011
07.04.2021 08:30:06.662 GMT-0500,360.93300000000005,360.477,0.011,0.011
07.04.2021 08:30:06.771 GMT-0500,360.913,360.477,0.011,0.011
07.04.2021 08:30:06.912 GMT-0500,360.89300000000003,360.477,0.0008,0.011
07.04.2021 08:30:07.413 GMT-0500,360.87199999999996,360.478,0.0008,0.011
07.04.2021 08:30:07.664 GMT-0500,360.853,360.477,0.0008,0.011
07.04.2021 08:30:08.988 GMT-0500,360.832,360.478,0.0075,0.011
07.04.2021 08:30:10.189 GMT-0500,360.833,360.48699999999997,0.011,0.0008
07.04.2021 08:30:10.799 GMT-0500,360.81300000000005,360.48699999999997,0.0008,0.011
07.04.2021 08:30:11.327 GMT-0500,360.79300000000006,360.48699999999997,0.011,0.011
07.04.2021 08:30:11.471 GMT-0500,360.81300000000005,360.48699999999997,0.011,0.011
07.04.2021 08:30:11.808 GMT-0500,360.773,360.48699999999997,0.0075,0.011
07.04.2021 08:30:13.548 GMT-0500,360.76300000000003,360.48699999999997,0.0008,0.011
07.04.2021 08:30:13.598 GMT-0500,360.773,360.48699999999997,0.011,0.011
07.04.2021 08:30:13.684 GMT-0500,360.762,360.48800000000006,0.0008,0.011
07.04.2021 08:30:14.041 GMT-0500,360.82,360.757,0.0075,0.0008
07.04.2021 08:30:14.091 GMT-0500,361.06199999999995,360.76800000000003,0.011,0.011
07.04.2021 08:30:14.142 GMT-0500,361.273,360.767,0.011,0.011
07.04.2021 08:30:14.192 GMT-0500,361.26300000000003,360.767,0.011,0.011
07.04.2021 08:30:16.150 GMT-0500,361.262,360.778,0.011,0.0008
07.04.2021 08:30:16.921 GMT-0500,361.272,360.788,0.011,0.011
07.04.2021 08:30:17.523 GMT-0500,361.11199999999997,360.788,0.0008,0.011
07.04.2021 08:30:17.573 GMT-0500,361.472,361.10800000000006,0.011,0.011
07.04.2021 08:30:28.217 GMT-0500,361.472,361.148,0.011,0.011
07.04.2021 08:30:32.011 GMT-0500,361.473,361.10699999999997,0.011,0.011
07.04.2021 08:30:32.061 GMT-0500,361.472,361.158,0.011,0.011
07.04.2021 08:30:32.919 GMT-0500,361.48199999999997,361.10800000000006,0.011,0.011
07.04.2021 08:30:33.255 GMT-0500,361.48199999999997,361.16800000000006,0.011,0.0008
07.04.2021 08:30:35.675 GMT-0500,361.48300000000006,361.17699999999996,0.011,0.0008
07.04.2021 08:30:37.247 GMT-0500,361.48300000000006,361.24699999999996,0.0008,0.0075
07.04.2021 08:30:37.298 GMT-0500,363.24199999999996,361.24800000000005,0.011,0.011
07.04.2021 08:30:37.544 GMT-0500,361.48199999999997,361.24800000000005,0.011,0.011
07.04.2021 08:30:43.160 GMT-0500,361.352,361.142,0.0075,0.0008
