Local time,Ask,Bid,AskVolume,BidVolume
07.04.2021 08:30:00.009 GMT-0500,51.902,51.648,0.011,0.011
07.04.2021 08:30:00.110 GMT-0500,51.903000000000006,51.737,0.011,0.011
07.04.2021 08:30:00.521 GMT-0500,51.903000000000006,51.747,0.011,0.011
07.04.2021 08:30:00.574 GMT-0500,51.903000000000006,51.737,0.011,0.011
07.04.2021 08:30:01.226 GMT-0500,51.812,51.738,0.0008,0.011
07.04.2021 08:30:01.377 GMT-0500,51.792,51.758,0.011,0.011
07.04.2021 08:30:01.554 GMT-0500,51.793000000000006,51.707,0.011,0.011
07.04.2021 08:30:01.605 GMT-0500,51.773,51.707,0.011,0.011
07.04.2021 08:30:02.117 GMT-0500,51.773,51.707,0.011,0.011
07.04.2021 08:30:02.335 GMT-0500,51.762,51.728,0.011,0.0075
07.04.2021 08:30:02.977 GMT-0500,51.752,51.708000000000006,0.011,0.011
07.04.2021 08:30:03.027 GMT-0500,51.742,51.708000000000006,0.011,0.011
07.04.2021 08:30:04.102 GMT-0500,51.723000000000006,51.707,0.0008,0.0075
07.04.2021 08:30:04.152 GMT-0500,51.733000000000004,51.707,0.011,0.011
07.04.2021 08:30:04.269 GMT-0500,51.733000000000004,51.697,0.011,0.011
07.04.2021 08:30:04.341 GMT-0500,51.732,51.698,0.011,0.011
07.04.2021 08:30:07.834 GMT-0500,51.743,51.697,0.011,0.011
07.04.2021 08:30:08.300 GMT-0500,51.713,51.687,0.011,0.011
07.04.2021 08:30:08.350 GMT-0500,51.743,51.687,0.011,0.011
07.04.2021 08:30:09.883 GMT-0500,51.711999999999996,51.688,0.011,0.011
07.04.2021 08:30:10.074 GMT-0500,51.703,51.647,0.011,0.011
07.04.2021 08:30:10.252 GMT-0500,51.702,51.648,0.011,0.011
07.04.2021 08:30:10.302 GMT-0500,51.742,51.608000000000004,0.011,0.011
07.04.2021 08:30:10.353 GMT-0500,51.682,51.608000000000004,0.011,0.011
07.04.2021 08:30:11.897 GMT-0500,51.683,51.607,0.011,0.011
07.04.2021 08:30:12.241 GMT-0500,51.673,51.607,0.011,0.011
07.04.2021 08:30:12.291 GMT-0500,51.653000000000006,51.607,0.011,0.011
07.04.2021 08:30:12.342 GMT-0500,51.683,51.607,0.011,0.011
07.04.2021 08:30:12.918 GMT-0500,51.632,51.608000000000004,0.0008,0.0075
07.04.2021 08:30:12.969 GMT-0500,51.672,51.598000000000006,0.011,0.011
07.04.2021 08:30:13.069 GMT-0500,51.643,51.586999999999996,0.011,0.011
07.04.2021 08:30:13.945 GMT-0500,51.641999999999996,51.598000000000006,0.011,0.0075
07.04.2021 08:30:15.497 GMT-0500,51.683,51.607,0.011,0.011
07.04.2021 08:30:15.744 GMT-0500,51.692,51.648,0.011,0.0075
07.04.2021 08:30:15.845 GMT-0500,51.682,51.648,0.011,0.011
07.04.2021 08:30:15.992 GMT-0500,51.682,51.668000000000006,0.011,0.011
07.04.2021 08:30:16.043 GMT-0500,51.693000000000005,51.647,0.011,0.011
07.04.2021 08:30:16.492 GMT-0500,51.693000000000005,51.637,0.011,0.011
07.04.2021 08:30:17.059 GMT-0500,51.683,51.637,0.011,0.011
07.04.2021 08:30:17.573 GMT-0500,51.683,51.586999999999996,0.011,0.011
07.04.2021 08:30:19.720 GMT-0500,51.682,51.628,0.011,0.0075
07.04.2021 08:30:20.250 GMT-0500,51.683,51.627,0.011,0.011
07.04.2021 08:30:20.301 GMT-0500,51.702,51.658,0.011,0.011
07.04.2021 08:30:21.220 GMT-0500,51.693000000000005,51.627,0.011,0.011
07.04.2021 08:30:21.969 GMT-0500,51.702,51.618,0.011,0.011
07.04.2021 08:30:22.368 GMT-0500,51.703,51.617,0.011,0.011
07.04.2021 08:30:22.468 GMT-0500,51.702,51.638000000000005,0.011,0.011
07.04.2021 08:30:25.121 GMT-0500,51.682,51.638000000000005,0.0008,0.011
07.04.2021 08:30:25.249 GMT-0500,51.673,51.637,0.0008,0.0075
07.04.2021 08:30:25.299 GMT-0500,51.662,51.598000000000006,0.011,0.011
07.04.2021 08:30:25.400 GMT-0500,51.641999999999996,51.588,0.011,0.011
07.04.2021 08:30:25.759 GMT-0500,51.652,51.608000000000004,0.011,0.011
07.04.2021 08:30:25.859 GMT-0500,51.672,51.618,0.011,0.011
07.04.2021 08:30:25.912 GMT-0500,51.672,51.618,0.011,0.011
07.04.2021 08:30:25.963 GMT-0500,51.682,51.618,0.011,0.011
07.04.2021 08:30:26.013 GMT-0500,51.692,51.628,0.011,0.011
07.04.2021 08:30:26.063 GMT-0500,51.703,51.627,0.011,0.011
07.04.2021 08:30:26.114 GMT-0500,51.693000000000005,51.627,0.011,0.011
07.04.2021 08:30:26.494 GMT-0500,51.703,51.647,0.011,0.011
07.04.2021 08:30:26.616 GMT-0500,51.692,51.658,0.0008,0.011
07.04.2021 08:30:26.666 GMT-0500,51.702,51.658,0.011,0.011
07.04.2021 08:30:26.797 GMT-0500,51.693000000000005,51.657,0.0008,0.0075
