Local time,Ask,Bid,AskVolume,BidVolume
08.04.2021 08:30:01.055 GMT-0500,53.313,53.047,0.1,0.0008
08.04.2021 08:30:01.322 GMT-0500,53.312,53.058,0.1,0.1
08.04.2021 08:30:01.473 GMT-0500,53.213,53.037,0.1,0.1
08.04.2021 08:30:01.625 GMT-0500,53.243,53.177,0.075,0.1
08.04.2021 08:30:01.675 GMT-0500,53.282,52.998000000000005,0.1,0.1
08.04.2021 08:30:01.726 GMT-0500,53.242,52.998000000000005,0.1,0.1
08.04.2021 08:30:01.860 GMT-0500,53.233000000000004,53.157,0.075,0.1
08.04.2021 08:30:01.961 GMT-0500,53.182,53.158,0.1,0.1
08.04.2021 08:30:02.011 GMT-0500,53.233000000000004,53.157,0.1,0.1
08.04.2021 08:30:02.100 GMT-0500,53.183,53.158,0.075,0.1
08.04.2021 08:30:02.150 GMT-0500,53.193000000000005,53.157,0.1,0.1
08.04.2021 08:30:02.288 GMT-0500,53.182,53.158,0.0008,0.1
08.04.2021 08:30:03.018 GMT-0500,53.182,53.177,0.075,0.0008
08.04.2021 08:30:03.068 GMT-0500,53.232,53.158,0.1,0.1
08.04.2021 08:30:03.247 GMT-0500,53.232,53.178000000000004,0.1,0.075
08.04.2021 08:30:03.718 GMT-0500,53.252,53.178000000000004,0.1,0.1
08.04.2021 08:30:04.309 GMT-0500,53.253,53.197,0.1,0.1
08.04.2021 08:30:04.738 GMT-0500,53.211999999999996,53.098000000000006,0.1,0.1
08.04.2021 08:30:04.789 GMT-0500,53.253,53.127,0.1,0.1
08.04.2021 08:30:04.839 GMT-0500,53.253,53.177,0.1,0.1
08.04.2021 08:30:05.669 GMT-0500,53.193000000000005,53.177,0.075,0.0008
08.04.2021 08:30:05.720 GMT-0500,53.193000000000005,53.097,0.1,0.1
08.04.2021 08:30:05.821 GMT-0500,53.193000000000005,53.177,0.1,0.075
08.04.2021 08:30:07.566 GMT-0500,53.253,53.097,0.1,0.1
08.04.2021 08:30:07.661 GMT-0500,53.253,53.177,0.1,0.1
08.04.2021 08:30:08.359 GMT-0500,53.203,53.177,0.1,0.1
08.04.2021 08:30:08.486 GMT-0500,53.252,53.178000000000004,0.1,0.1
08.04.2021 08:30:09.187 GMT-0500,53.252,53.188,0.1,0.1
08.04.2021 08:30:09.237 GMT-0500,53.252,53.178000000000004,0.1,0.1
08.04.2021 08:30:11.281 GMT-0500,53.243,53.177,0.0008,0.1
08.04.2021 08:30:11.431 GMT-0500,53.243,53.187,0.1,0.1
08.04.2021 08:30:11.707 GMT-0500,53.232,53.188,0.075,0.1
08.04.2021 08:30:12.129 GMT-0500,53.222,53.188,0.1,0.1
08.04.2021 08:30:12.180 GMT-0500,53.253,53.187,0.1,0.1
08.04.2021 08:30:12.560 GMT-0500,53.273,53.187,0.1,0.1
08.04.2021 08:30:12.703 GMT-0500,53.282,53.188,0.1,0.1
08.04.2021 08:30:13.252 GMT-0500,53.272,53.188,0.1,0.1
08.04.2021 08:30:13.901 GMT-0500,53.283,53.187,0.1,0.1
08.04.2021 08:30:14.350 GMT-0500,53.253,53.187,0.1,0.1
08.04.2021 08:30:14.400 GMT-0500,53.273,53.187,0.1,0.1
08.04.2021 08:30:14.454 GMT-0500,53.282,53.188,0.1,0.1
08.04.2021 08:30:14.688 GMT-0500,53.253,53.187,0.075,0.1
08.04.2021 08:30:14.996 GMT-0500,53.273,53.187,0.1,0.1
