Local time,Ask,Bid,AskVolume,BidVolume
22.02.2021 08:30:00.036 GMT-0600,19.873,19.827,0.01,0.01
22.02.2021 08:30:00.601 GMT-0600,19.862000000000002,19.828,0.01,0.01
22.02.2021 08:30:00.663 GMT-0600,19.872,19.828,0.01,0.01
22.02.2021 08:30:00.765 GMT-0600,19.862000000000002,19.828,0.01,0.01
22.02.2021 08:30:00.815 GMT-0600,19.872,19.828,0.01,0.01
22.02.2021 08:30:00.865 GMT-0600,19.863,19.827,0.01,0.01
22.02.2021 08:30:00.916 GMT-0600,19.872,19.828,0.01,0.01
22.02.2021 08:30:00.996 GMT-0600,19.863,19.827,0.01,0.01
22.02.2021 08:30:01.147 GMT-0600,19.853,19.837,0.01,0.01
22.02.2021 08:30:01.298 GMT-0600,19.852,19.828,0.01,0.01
22.02.2021 08:30:01.562 GMT-0600,19.863,19.837,0.01,0.01
22.02.2021 08:30:01.662 GMT-0600,19.853,19.827,0.01,0.01
22.02.2021 08:30:01.891 GMT-0600,19.853,19.837,0.01,0.01
22.02.2021 08:30:01.942 GMT-0600,19.862000000000002,19.838,0.01,0.01
22.02.2021 08:30:12.035 GMT-0600,19.542,19.518,0.01,0.01
22.02.2021 08:30:12.135 GMT-0600,19.543,19.507,0.01,0.01
22.02.2021 08:30:12.199 GMT-0600,19.523,19.507,0.01,0.01
22.02.2021 08:30:12.250 GMT-0600,19.502000000000002,19.488,0.01,0.01
22.02.2021 08:30:12.372 GMT-0600,19.492,19.468,0.01,0.01
22.02.2021 08:30:12.523 GMT-0600,19.493,19.467000000000002,0.01,0.01
22.02.2021 08:30:12.724 GMT-0600,19.502000000000002,19.478,0.01,0.01
22.02.2021 08:30:12.914 GMT-0600,19.512,19.498,0.01,0.01
22.02.2021 08:30:13.014 GMT-0600,19.523,19.497,0.01,0.01
22.02.2021 08:30:13.234 GMT-0600,19.512,19.488,0.01,0.01
22.02.2021 08:30:13.284 GMT-0600,19.522000000000002,19.488,0.01,0.01
22.02.2021 08:30:13.515 GMT-0600,19.522000000000002,19.488,0.01,0.01
22.02.2021 08:30:13.565 GMT-0600,19.513,19.487000000000002,0.01,0.01
22.02.2021 08:30:13.615 GMT-0600,19.522000000000002,19.488,0.01,0.01
22.02.2021 08:30:13.665 GMT-0600,19.522000000000002,19.508,0.01,0.01
22.02.2021 08:30:13.887 GMT-0600,19.522000000000002,19.488,0.01,0.01
22.02.2021 08:30:14.052 GMT-0600,19.522000000000002,19.498,0.01,0.01
22.02.2021 08:30:24.183 GMT-0600,19.752000000000002,19.728,0.01,0.01
22.02.2021 08:30:24.308 GMT-0600,19.742,19.718,0.01,0.01
22.02.2021 08:30:24.358 GMT-0600,19.753,19.717000000000002,0.01,0.01
22.02.2021 08:30:24.458 GMT-0600,19.743,19.717000000000002,0.01,0.01
22.02.2021 08:30:24.508 GMT-0600,19.753,19.717000000000002,0.01,0.01
22.02.2021 08:30:24.575 GMT-0600,19.753,19.727,0.01,0.01
22.02.2021 08:30:24.755 GMT-0600,19.732,19.718,0.01,0.01
22.02.2021 08:30:24.863 GMT-0600,19.742,19.728,0.01,0.01
22.02.2021 08:30:24.913 GMT-0600,19.742,19.718,0.01,0.01
22.02.2021 08:30:25.617 GMT-0600,19.743,19.717000000000002,0.01,0.01
22.02.2021 08:30:25.866 GMT-0600,19.752000000000002,19.718,0.01,0.01
22.02.2021 08:30:27.187 GMT-0600,19.733,19.717000000000002,0.01,0.01
22.02.2021 08:30:27.287 GMT-0600,19.733,19.707,0.01,0.01
22.02.2021 08:30:27.338 GMT-0600,19.723,19.697,0.01,0.01
22.02.2021 08:30:27.571 GMT-0600,19.733,19.707,0.01,0.01
22.02.2021 08:30:27.827 GMT-0600,19.723,19.707,0.01,0.01
22.02.2021 08:30:27.878 GMT-0600,19.733,19.707,0.01,0.01
22.02.2021 08:30:28.038 GMT-0600,19.733,19.717000000000002,0.01,0.01
22.02.2021 08:30:28.138 GMT-0600,19.743,19.717000000000002,0.01,0.01
22.02.2021 08:30:28.389 GMT-0600,19.743,19.717000000000002,0.01,0.01
22.02.2021 08:30:28.613 GMT-0600,19.733,19.717000000000002,0.01,0.01
22.02.2021 08:30:28.663 GMT-0600,19.752000000000002,19.728,0.01,0.01
22.02.2021 08:30:28.714 GMT-0600,19.733,19.717000000000002,0.01,0.01
22.02.2021 08:30:28.910 GMT-0600,19.723,19.707,0.01,0.01
22.02.2021 08:30:29.032 GMT-0600,19.702,19.688,0.01,0.01
22.02.2021 08:30:29.132 GMT-0600,19.722,19.708,0.01,0.01
22.02.2021 08:30:29.243 GMT-0600,19.723,19.697,0.01,0.01
22.02.2021 08:30:29.452 GMT-0600,19.732,19.708,0.01,0.01
22.02.2021 08:30:29.553 GMT-0600,19.723,19.707,0.01,0.01
22.02.2021 08:30:29.603 GMT-0600,19.722,19.698,0.01,0.01
22.02.2021 08:30:29.888 GMT-0600,19.723,19.707,0.01,0.01
22.02.2021 08:30:29.938 GMT-0600,19.722,19.698,0.01,0.01
22.02.2021 08:30:30.106 GMT-0600,19.712,19.688,0.01,0.01
22.02.2021 08:30:30.290 GMT-0600,19.702,19.688,0.01,0.01
22.02.2021 08:30:30.350 GMT-0600,19.712,19.688,0.01,0.01
22.02.2021 08:30:30.476 GMT-0600,19.702,19.678,0.01,0.01
22.02.2021 08:30:30.577 GMT-0600,19.693,19.667,0.01,0.01
22.02.2021 08:30:30.690 GMT-0600,19.682000000000002,19.668,0.01,0.01
22.02.2021 08:30:30.842 GMT-0600,19.693,19.667,0.01,0.01
22.02.2021 08:30:31.042 GMT-0600,19.683,19.667,0.01,0.01
22.02.2021 08:30:31.093 GMT-0600,19.692,19.668,0.01,0.01
22.02.2021 08:30:31.143 GMT-0600,19.693,19.677,0.01,0.01
22.02.2021 08:30:31.193 GMT-0600,19.692,19.668,0.01,0.01
22.02.2021 08:30:31.294 GMT-0600,19.693,19.677,0.01,0.01
22.02.2021 08:30:31.424 GMT-0600,19.703,19.677,0.01,0.01
22.02.2021 08:30:31.474 GMT-0600,19.692,19.668,0.01,0.01
22.02.2021 08:30:31.796 GMT-0600,19.693,19.677,0.01,0.01
22.02.2021 08:30:31.947 GMT-0600,19.703,19.677,0.01,0.01
22.02.2021 08:30:32.298 GMT-0600,19.712,19.688,0.01,0.01
22.02.2021 08:30:32.487 GMT-0600,19.702,19.678,0.01,0.01
22.02.2021 08:30:32.771 GMT-0600,19.693,19.677,0.01,0.01
22.02.2021 08:30:33.007 GMT-0600,19.703,19.687,0.01,0.01
22.02.2021 08:30:33.058 GMT-0600,19.712,19.678,0.01,0.01
22.02.2021 08:30:33.111 GMT-0600,19.703,19.687,0.01,0.01
22.02.2021 08:30:33.351 GMT-0600,19.713,19.687,0.01,0.01
22.02.2021 08:30:33.438 GMT-0600,19.702,19.688,0.01,0.01
22.02.2021 08:30:33.688 GMT-0600,19.713,19.687,0.01,0.01
22.02.2021 08:30:33.738 GMT-0600,19.703,19.687,0.01,0.01
22.02.2021 08:30:33.868 GMT-0600,19.712,19.688,0.01,0.01
22.02.2021 08:30:34.069 GMT-0600,19.712,19.698,0.01,0.01
22.02.2021 08:30:34.169 GMT-0600,19.723,19.697,0.01,0.01
22.02.2021 08:30:34.413 GMT-0600,19.723,19.707,0.01,0.01
