Local time,Ask,Bid,AskVolume,BidVolume
22.02.2021 06:30:00.802 GMT-0800,313.683,312.09700000000004,0.0008,0.1
22.02.2021 06:30:02.688 GMT-0800,314.982,312.998,0.0008,0.1
22.02.2021 06:30:03.171 GMT-0800,314.982,313.178,0.1,0.075
22.02.2021 06:30:03.492 GMT-0800,314.873,313.177,0.1,0.1
22.02.2021 06:30:03.644 GMT-0800,314.862,313.178,0.075,0.1
22.02.2021 06:30:03.745 GMT-0800,314.873,313.177,0.1,0.1
22.02.2021 06:30:03.888 GMT-0800,314.982,313.178,0.1,0.1
22.02.2021 06:30:04.262 GMT-0800,314.973,313.177,0.0008,0.1
22.02.2021 06:30:04.371 GMT-0800,314.962,313.178,0.075,0.1
22.02.2021 06:30:04.421 GMT-0800,314.983,313.177,0.1,0.1
22.02.2021 06:30:04.471 GMT-0800,314.85200000000003,313.178,0.1,0.1
22.02.2021 06:30:04.774 GMT-0800,314.84200000000004,313.178,0.0008,0.1
22.02.2021 06:30:04.989 GMT-0800,314.833,313.177,0.0008,0.1
22.02.2021 06:30:05.089 GMT-0800,314.85200000000003,313.178,0.1,0.1
22.02.2021 06:30:05.517 GMT-0800,314.843,313.177,0.075,0.1
22.02.2021 06:30:05.617 GMT-0800,314.982,313.178,0.1,0.1
22.02.2021 06:30:05.681 GMT-0800,314.982,313.578,0.1,0.075
22.02.2021 06:30:06.071 GMT-0800,314.973,313.577,0.1,0.1
22.02.2021 06:30:06.208 GMT-0800,314.962,313.578,0.075,0.1
22.02.2021 06:30:06.259 GMT-0800,314.983,313.577,0.1,0.1
22.02.2021 06:30:06.423 GMT-0800,314.982,313.188,0.1,0.1
22.02.2021 06:30:06.540 GMT-0800,314.982,313.578,0.1,0.075
22.02.2021 06:30:06.752 GMT-0800,314.962,313.578,0.0008,0.1
22.02.2021 06:30:06.802 GMT-0800,314.963,312.997,0.1,0.1
22.02.2021 06:30:06.906 GMT-0800,314.962,313.578,0.1,0.075
22.02.2021 06:30:07.007 GMT-0800,315.002,313.578,0.1,0.1
22.02.2021 06:30:07.262 GMT-0800,314.992,313.578,0.0008,0.1
22.02.2021 06:30:07.509 GMT-0800,314.982,313.578,0.075,0.1
22.02.2021 06:30:07.937 GMT-0800,315.003,313.577,0.1,0.1
22.02.2021 06:30:08.050 GMT-0800,314.993,313.577,0.0008,0.1
22.02.2021 06:30:08.687 GMT-0800,314.983,313.577,0.1,0.1
22.02.2021 06:30:08.738 GMT-0800,315.002,313.578,0.1,0.1
22.02.2021 06:30:09.075 GMT-0800,315.002,313.788,0.1,0.075
22.02.2021 06:30:09.125 GMT-0800,315.002,313.008,0.1,0.1
22.02.2021 06:30:09.248 GMT-0800,314.992,313.008,0.0008,0.075
22.02.2021 06:30:09.705 GMT-0800,314.982,313.808,0.0008,0.1
22.02.2021 06:30:10.156 GMT-0800,315.002,313.808,0.1,0.1
22.02.2021 06:30:10.538 GMT-0800,314.993,313.807,0.1,0.1
