time,ask,bid,ticker
1614004200036000000,19.873,19.827,AAL
1614004200601000000,19.862,19.828,AAL
1614004200663000000,19.872,19.828,AAL
1614004200765000000,19.862,19.828,AAL
1614004200802000000,313.683,312.09700000000004,GS
1614004200815000000,19.872,19.828,AAL
1614004200865000000,19.863,19.827,AAL
1614004200916000000,19.872,19.828,AAL
1614004200996000000,19.863,19.827,AAL
1614004201147000000,19.853,19.837,AAL
1614004201298000000,19.852,19.828,AAL
1614004201562000000,19.863,19.837,AAL
1614004201662000000,19.853,19.827,AAL
1614004201891000000,19.853,19.837,AAL
1614004201942000000,19.862,19.838,AAL
1614004202688000000,314.982,312.998,GS
1614004203171000000,314.982,313.178,GS
1614004203492000000,314.873,313.177,GS
1614004203644000000,314.862,313.178,GS
1614004203745000000,314.873,313.177,GS
1614004203888000000,314.982,313.178,GS
1614004204262000000,314.973,313.177,GS
1614004204371000000,314.962,313.178,GS
1614004204421000000,314.983,313.177,GS
1614004204471000000,314.85200000000003,313.178,GS
1614004204774000000,314.84200000000004,313.178,GS
1614004204989000000,314.833,313.177,GS
1614004205089000000,314.85200000000003,313.178,GS
1614004205517000000,314.843,313.177,GS
1614004205617000000,314.982,313.178,GS
1614004205681000000,314.982,313.578,GS
1614004206071000000,314.973,313.577,GS
1614004206208000000,314.962,313.578,GS
1614004206259000000,314.983,313.577,GS
1614004206423000000,314.982,313.188,GS
1614004206540000000,314.982,313.578,GS
1614004206752000000,314.962,313.578,GS
1614004206802000000,314.963,312.997,GS
1614004206906000000,314.962,313.578,GS
1614004207007000000,315.002,313.578,GS
1614004207262000000,314.992,313.578,GS
1614004207509000000,314.982,313.578,GS
1614004207937000000,315.003,313.577,GS
1614004208050000000,314.993,313.577,GS
1614004208687000000,314.983,313.577,GS
1614004208738000000,315.002,313.578,GS
1614004209075000000,315.002,313.788,GS
1614004209125000000,315.002,313.008,GS
1614004209248000000,314.992,313.008,GS
1614004209705000000,314.982,313.808,GS
1614004210156000000,315.002,313.808,GS
