Local time,Ask,Bid,AskVolume,BidVolume
20.03.2020 08:30:01.906 GMT-0500,11.353,10.997,0.002,0.002
20.03.2020 08:30:02.658 GMT-0500,11.203,11.058,0.0008,0.0008
20.03.2020 08:30:04.483 GMT-0500,11.182,11.057,0.0008,0.002
20.03.2020 08:30:04.585 GMT-0500,11.202,11.058,0.0008,0.0008
20.03.2020 08:30:04.790 GMT-0500,11.392999999999999,11.067,0.0008,0.0008
20.03.2020 08:30:04.841 GMT-0500,11.402000000000001,11.058,0.002,0.002
20.03.2020 08:30:05.074 GMT-0500,11.403,11.057,0.002,0.002
20.03.2020 08:30:05.549 GMT-0500,11.222999999999999,11.057,0.0008,0.002
20.03.2020 08:30:05.600 GMT-0500,11.402000000000001,11.008,0.0008,0.0008
20.03.2020 08:30:05.911 GMT-0500,11.403,10.997,0.002,0.002
20.03.2020 08:30:06.097 GMT-0500,11.402000000000001,10.997,0.0008,0.002
20.03.2020 08:30:06.198 GMT-0500,11.402000000000001,10.998,0.002,0.002
20.03.2020 08:30:06.289 GMT-0500,11.133,10.998,0.0008,0.002
20.03.2020 08:30:06.340 GMT-0500,11.403,10.997,0.002,0.002
20.03.2020 08:30:06.617 GMT-0500,11.402000000000001,10.997,0.0008,0.002
20.03.2020 08:30:06.717 GMT-0500,11.402000000000001,10.997,0.0008,0.002
20.03.2020 08:30:07.059 GMT-0500,11.222000000000001,10.997,0.0008,0.002
20.03.2020 08:30:07.109 GMT-0500,11.402000000000001,10.998,0.0008,0.0008
20.03.2020 08:30:07.544 GMT-0500,11.202,10.998,0.0008,0.002
20.03.2020 08:30:11.452 GMT-0500,11.192,11.017999999999999,0.0008,0.002
20.03.2020 08:30:11.785 GMT-0500,11.193,11.027000000000001,0.0008,0.0008
20.03.2020 08:30:11.836 GMT-0500,11.202,11.017999999999999,0.002,0.002
20.03.2020 08:30:15.344 GMT-0500,11.192,11.028,0.002,0.002
20.03.2020 08:30:15.477 GMT-0500,11.202,11.017000000000001,0.0008,0.002
20.03.2020 08:30:17.051 GMT-0500,11.492,11.027000000000001,0.0008,0.002
20.03.2020 08:30:17.378 GMT-0500,11.502,11.017999999999999,0.0008,0.0008
20.03.2020 08:30:17.525 GMT-0500,11.222000000000001,11.017999999999999,0.0008,0.002
20.03.2020 08:30:20.686 GMT-0500,11.212000000000002,11.017999999999999,0.0008,0.002
20.03.2020 08:30:21.068 GMT-0500,11.222000000000001,11.017999999999999,0.0008,0.0008
20.03.2020 08:30:25.141 GMT-0500,11.212000000000002,11.017999999999999,0.0008,0.002
20.03.2020 08:30:25.611 GMT-0500,11.222999999999999,11.017000000000001,0.002,0.002
20.03.2020 08:30:32.308 GMT-0500,11.212000000000002,11.017000000000001,0.0008,0.002
20.03.2020 08:30:32.495 GMT-0500,11.222999999999999,11.017000000000001,0.002,0.002
20.03.2020 08:30:38.806 GMT-0500,11.213,11.017000000000001,0.0008,0.002
20.03.2020 08:30:39.090 GMT-0500,11.212000000000002,11.028,0.0008,0.0008
20.03.2020 08:30:39.140 GMT-0500,11.222999999999999,11.017000000000001,0.002,0.002
20.03.2020 08:30:45.588 GMT-0500,11.212000000000002,11.028,0.0008,0.0008
20.03.2020 08:30:45.880 GMT-0500,11.222000000000001,11.017000000000001,0.0008,0.002
20.03.2020 08:30:53.939 GMT-0500,11.212000000000002,11.028,0.0008,0.0008
20.03.2020 08:30:54.103 GMT-0500,11.222000000000001,11.017999999999999,0.002,0.002
20.03.2020 08:31:01.947 GMT-0500,11.502,11.017999999999999,0.002,0.002
20.03.2020 08:31:02.581 GMT-0500,11.192,11.017999999999999,0.0008,0.002
20.03.2020 08:31:04.795 GMT-0500,11.193,11.017000000000001,0.0008,0.002
20.03.2020 08:31:04.845 GMT-0500,11.503,11.017000000000001,0.002,0.002
20.03.2020 08:31:05.394 GMT-0500,11.502,11.017000000000001,0.0008,0.002
20.03.2020 08:31:05.929 GMT-0500,11.222000000000001,11.017999999999999,0.0008,0.002
20.03.2020 08:31:08.429 GMT-0500,11.212000000000002,11.017000000000001,0.0008,0.002
20.03.2020 08:31:08.649 GMT-0500,11.222000000000001,11.017000000000001,0.0008,0.002
20.03.2020 08:31:09.789 GMT-0500,11.105,11.078,0.0008,0.0008
20.03.2020 08:31:09.890 GMT-0500,11.102,11.088,0.002,0.002
