Local time,Ask,Bid,AskVolume,BidVolume
29.03.2021 06:30:38.071 GMT-0700,119.382,119.10799999999999,0.1,0.075
29.03.2021 06:31:17.011 GMT-0700,119.20299999999999,118.71700000000001,0.1,0.1
29.03.2021 06:31:17.211 GMT-0700,119.01200000000001,118.71799999999999,0.075,0.1
29.03.2021 06:31:19.935 GMT-0700,119.01200000000001,118.57799999999999,0.1,0.1
29.03.2021 06:31:20.053 GMT-0700,119.00200000000001,118.588,0.075,0.075
29.03.2021 06:31:20.153 GMT-0700,119.01200000000001,118.57799999999999,0.1,0.1
29.03.2021 06:31:21.147 GMT-0700,119.003,118.587,0.075,0.075
29.03.2021 06:31:21.454 GMT-0700,119.01299999999999,118.57700000000001,0.1,0.1
29.03.2021 06:31:22.256 GMT-0700,118.89200000000001,118.57799999999999,0.0008,0.1
29.03.2021 06:31:24.677 GMT-0700,118.89200000000001,118.708,0.1,0.0008
29.03.2021 06:31:35.708 GMT-0700,119.20299999999999,118.88700000000001,0.1,0.075
29.03.2021 06:32:04.278 GMT-0700,119.193,118.867,0.1,0.1
29.03.2021 06:32:05.604 GMT-0700,119.20299999999999,118.867,0.1,0.0008
29.03.2021 06:32:10.600 GMT-0700,119.20200000000001,118.878,0.1,0.1
29.03.2021 06:32:35.947 GMT-0700,119.20200000000001,118.708,0.1,0.0008
29.03.2021 06:32:36.891 GMT-0700,119.193,118.897,0.0008,0.0008
29.03.2021 06:32:36.942 GMT-0700,119.20200000000001,118.708,0.1,0.1
29.03.2021 06:32:40.364 GMT-0700,119.20200000000001,118.71799999999999,0.1,0.075
29.03.2021 06:32:40.818 GMT-0700,119.20200000000001,118.708,0.1,0.1
29.03.2021 06:32:54.993 GMT-0700,119.48200000000001,119.038,0.1,0.1
29.03.2021 06:32:57.335 GMT-0700,119.47200000000001,119.038,0.0008,0.1
29.03.2021 06:32:57.436 GMT-0700,119.48299999999999,119.037,0.1,0.1
29.03.2021 06:33:00.242 GMT-0700,119.473,119.12700000000001,0.075,0.075
29.03.2021 06:33:00.293 GMT-0700,119.47200000000001,119.05799999999999,0.1,0.1
29.03.2021 06:33:00.344 GMT-0700,119.29299999999999,119.04700000000001,0.1,0.1
29.03.2021 06:33:01.588 GMT-0700,119.48299999999999,119.05700000000002,0.1,0.1
29.03.2021 06:33:03.491 GMT-0700,119.48200000000001,119.048,0.1,0.0008
29.03.2021 06:33:03.595 GMT-0700,119.48299999999999,119.037,0.1,0.1
