Local time,Ask,Bid,AskVolume,BidVolume
31.03.2021 06:30:00.015 GMT-0700,121.773,121.647,0.015,0.015
31.03.2021 06:30:00.066 GMT-0700,121.773,121.617,0.015,0.015
31.03.2021 06:30:00.116 GMT-0700,121.663,121.62700000000001,0.015,0.015
31.03.2021 06:30:00.166 GMT-0700,121.772,121.648,0.015,0.015
31.03.2021 06:30:00.217 GMT-0700,121.663,121.617,0.015,0.015
31.03.2021 06:30:00.267 GMT-0700,121.772,121.618,0.015,0.015
31.03.2021 06:30:00.317 GMT-0700,121.65200000000002,121.628,0.015,0.015
31.03.2021 06:30:00.418 GMT-0700,121.632,121.598,0.015,0.015
31.03.2021 06:30:00.468 GMT-0700,121.65200000000002,121.618,0.015,0.015
31.03.2021 06:30:00.618 GMT-0700,121.64200000000001,121.618,0.015,0.015
31.03.2021 06:30:00.669 GMT-0700,121.663,121.62700000000001,0.015,0.015
31.03.2021 06:30:00.769 GMT-0700,121.64200000000001,121.60799999999999,0.015,0.015
31.03.2021 06:30:00.820 GMT-0700,121.662,121.60799999999999,0.015,0.015
31.03.2021 06:30:00.870 GMT-0700,121.632,121.60799999999999,0.015,0.015
31.03.2021 06:30:00.920 GMT-0700,121.632,121.598,0.015,0.015
31.03.2021 06:30:01.021 GMT-0700,121.663,121.59700000000001,0.015,0.015
31.03.2021 06:30:01.121 GMT-0700,121.662,121.618,0.015,0.015
31.03.2021 06:30:01.222 GMT-0700,121.663,121.62700000000001,0.015,0.015
31.03.2021 06:30:01.322 GMT-0700,121.773,121.62700000000001,0.015,0.015
31.03.2021 06:30:01.373 GMT-0700,121.773,121.63700000000001,0.015,0.015
31.03.2021 06:30:01.523 GMT-0700,121.743,121.63700000000001,0.015,0.015
31.03.2021 06:30:01.624 GMT-0700,121.742,121.648,0.015,0.015
31.03.2021 06:30:01.674 GMT-0700,121.772,121.658,0.015,0.015
31.03.2021 06:30:01.724 GMT-0700,121.772,121.66799999999999,0.015,0.015
31.03.2021 06:30:01.907 GMT-0700,121.69200000000001,121.66799999999999,0.015,0.015
31.03.2021 06:30:02.008 GMT-0700,121.773,121.65700000000001,0.015,0.015
31.03.2021 06:30:02.058 GMT-0700,121.73299999999999,121.68700000000001,0.015,0.015
31.03.2021 06:30:02.225 GMT-0700,121.772,121.68799999999999,0.015,0.015
31.03.2021 06:30:02.276 GMT-0700,121.713,121.677,0.015,0.015
31.03.2021 06:30:02.326 GMT-0700,121.773,121.68700000000001,0.015,0.015
31.03.2021 06:30:02.376 GMT-0700,121.73200000000001,121.68799999999999,0.015,0.015
31.03.2021 06:30:02.517 GMT-0700,121.72200000000001,121.68799999999999,0.015,0.0001
31.03.2021 06:30:02.568 GMT-0700,121.723,121.677,0.015,0.015
31.03.2021 06:30:02.620 GMT-0700,121.723,121.68700000000001,0.015,0.0001
31.03.2021 06:30:02.721 GMT-0700,121.72200000000001,121.678,0.015,0.015
31.03.2021 06:30:02.909 GMT-0700,121.693,121.65700000000001,0.015,0.015
31.03.2021 06:30:02.960 GMT-0700,121.67200000000001,121.628,0.015,0.015
31.03.2021 06:30:03.010 GMT-0700,121.67200000000001,121.658,0.015,0.015
31.03.2021 06:30:03.061 GMT-0700,121.68299999999999,121.65700000000001,0.015,0.015
31.03.2021 06:30:03.111 GMT-0700,121.69200000000001,121.66799999999999,0.015,0.015
31.03.2021 06:30:03.224 GMT-0700,121.70299999999999,121.66700000000002,0.015,0.015
31.03.2021 06:30:03.275 GMT-0700,121.723,121.68700000000001,0.015,0.015
31.03.2021 06:30:03.425 GMT-0700,121.73299999999999,121.70700000000001,0.015,0.015
31.03.2021 06:30:03.576 GMT-0700,121.753,121.70700000000001,0.015,0.015
31.03.2021 06:30:03.677 GMT-0700,121.753,121.697,0.015,0.015
31.03.2021 06:30:03.727 GMT-0700,121.72200000000001,121.698,0.015,0.015
31.03.2021 06:30:03.777 GMT-0700,121.70299999999999,121.66700000000002,0.015,0.015
31.03.2021 06:30:03.850 GMT-0700,121.70200000000001,121.678,0.015,0.0012
31.03.2021 06:30:03.901 GMT-0700,121.743,121.697,0.015,0.015
31.03.2021 06:30:03.989 GMT-0700,121.743,121.70700000000001,0.0075,0.0012
31.03.2021 06:30:04.040 GMT-0700,121.753,121.70700000000001,0.015,0.015
31.03.2021 06:30:04.140 GMT-0700,121.723,121.697,0.015,0.015
31.03.2021 06:30:04.191 GMT-0700,121.743,121.70700000000001,0.015,0.015
31.03.2021 06:30:04.291 GMT-0700,121.75200000000001,121.708,0.015,0.015
31.03.2021 06:30:04.342 GMT-0700,121.73299999999999,121.70700000000001,0.015,0.015
31.03.2021 06:30:04.492 GMT-0700,121.75200000000001,121.698,0.015,0.015
31.03.2021 06:30:04.719 GMT-0700,121.75200000000001,121.71799999999999,0.015,0.015
31.03.2021 06:30:04.770 GMT-0700,121.713,121.697,0.015,0.015
31.03.2021 06:30:04.820 GMT-0700,121.743,121.697,0.015,0.015
31.03.2021 06:30:05.165 GMT-0700,121.743,121.71700000000001,0.015,0.015
31.03.2021 06:30:05.215 GMT-0700,121.753,121.71700000000001,0.015,0.015
31.03.2021 06:30:05.345 GMT-0700,121.743,121.71700000000001,0.015,0.015
31.03.2021 06:30:05.395 GMT-0700,121.70200000000001,121.66799999999999,0.015,0.015
31.03.2021 06:30:05.586 GMT-0700,121.693,121.66700000000002,0.015,0.015
31.03.2021 06:30:05.737 GMT-0700,121.70200000000001,121.678,0.015,0.015
31.03.2021 06:30:05.787 GMT-0700,121.70200000000001,121.66799999999999,0.015,0.015
31.03.2021 06:30:05.887 GMT-0700,121.70200000000001,121.658,0.015,0.015
31.03.2021 06:30:06.029 GMT-0700,121.67200000000001,121.658,0.0075,0.0012
31.03.2021 06:30:06.079 GMT-0700,121.68200000000002,121.648,0.015,0.015
31.03.2021 06:30:06.413 GMT-0700,121.70299999999999,121.66700000000002,0.015,0.015
31.03.2021 06:30:06.631 GMT-0700,121.70200000000001,121.678,0.015,0.015
31.03.2021 06:30:06.732 GMT-0700,121.713,121.677,0.015,0.015
31.03.2021 06:30:06.802 GMT-0700,121.712,121.68799999999999,0.015,0.0001
31.03.2021 06:30:06.952 GMT-0700,121.72200000000001,121.698,0.015,0.015
31.03.2021 06:30:07.094 GMT-0700,121.713,121.697,0.015,0.015
31.03.2021 06:30:07.616 GMT-0700,121.70200000000001,121.678,0.015,0.015
31.03.2021 06:30:07.667 GMT-0700,121.713,121.68700000000001,0.015,0.015
31.03.2021 06:30:07.832 GMT-0700,121.70200000000001,121.68799999999999,0.0075,0.0001
31.03.2021 06:30:07.961 GMT-0700,121.70299999999999,121.677,0.015,0.015
31.03.2021 06:30:08.011 GMT-0700,121.69200000000001,121.66799999999999,0.015,0.015
31.03.2021 06:30:08.062 GMT-0700,121.70299999999999,121.66700000000002,0.015,0.015
31.03.2021 06:30:08.525 GMT-0700,121.70299999999999,121.65700000000001,0.015,0.015
31.03.2021 06:30:08.626 GMT-0700,121.69200000000001,121.658,0.015,0.015
31.03.2021 06:30:09.232 GMT-0700,121.68200000000002,121.658,0.0075,0.0012
31.03.2021 06:30:09.382 GMT-0700,121.663,121.63700000000001,0.015,0.015
31.03.2021 06:30:09.483 GMT-0700,121.65200000000002,121.628,0.015,0.015
31.03.2021 06:30:09.583 GMT-0700,121.68200000000002,121.648,0.015,0.015
31.03.2021 06:30:09.634 GMT-0700,121.67200000000001,121.648,0.015,0.015
31.03.2021 06:30:09.684 GMT-0700,121.67200000000001,121.63799999999999,0.015,0.015
31.03.2021 06:30:09.735 GMT-0700,121.662,121.628,0.015,0.015
31.03.2021 06:30:09.925 GMT-0700,121.65200000000002,121.628,0.0075,0.015
31.03.2021 06:30:09.975 GMT-0700,121.65299999999999,121.617,0.015,0.015
31.03.2021 06:30:10.026 GMT-0700,121.673,121.647,0.015,0.015
31.03.2021 06:30:10.076 GMT-0700,121.673,121.63700000000001,0.015,0.015
31.03.2021 06:30:10.126 GMT-0700,121.68299999999999,121.647,0.015,0.015
31.03.2021 06:30:10.227 GMT-0700,121.70299999999999,121.677,0.015,0.015
31.03.2021 06:30:10.327 GMT-0700,121.73299999999999,121.70700000000001,0.015,0.015
31.03.2021 06:30:10.428 GMT-0700,121.75200000000001,121.728,0.015,0.015
31.03.2021 06:30:10.579 GMT-0700,121.753,121.73700000000001,0.015,0.015
31.03.2021 06:30:10.629 GMT-0700,121.753,121.727,0.015,0.015
31.03.2021 06:30:10.679 GMT-0700,121.753,121.73700000000001,0.015,0.015
31.03.2021 06:30:10.729 GMT-0700,121.753,121.727,0.015,0.015
31.03.2021 06:30:10.780 GMT-0700,121.75200000000001,121.738,0.015,0.015
31.03.2021 06:30:10.880 GMT-0700,121.753,121.727,0.015,0.015
31.03.2021 06:30:11.038 GMT-0700,121.742,121.728,0.0075,0.015
31.03.2021 06:30:11.088 GMT-0700,121.753,121.727,0.015,0.015
31.03.2021 06:30:11.138 GMT-0700,121.753,121.73700000000001,0.015,0.015
31.03.2021 06:30:11.189 GMT-0700,121.75200000000001,121.728,0.015,0.015
31.03.2021 06:30:11.349 GMT-0700,121.753,121.73700000000001,0.015,0.0012
31.03.2021 06:30:11.399 GMT-0700,121.753,121.727,0.015,0.015
31.03.2021 06:30:11.641 GMT-0700,121.75200000000001,121.71799999999999,0.015,0.015
31.03.2021 06:30:11.691 GMT-0700,121.742,121.71799999999999,0.015,0.015
31.03.2021 06:30:11.973 GMT-0700,121.723,121.71700000000001,0.0075,0.0012
31.03.2021 06:30:12.024 GMT-0700,121.73299999999999,121.697,0.015,0.015
31.03.2021 06:30:12.124 GMT-0700,121.713,121.68700000000001,0.015,0.015
31.03.2021 06:30:12.225 GMT-0700,121.713,121.677,0.015,0.015
31.03.2021 06:30:12.516 GMT-0700,121.68299999999999,121.66700000000002,0.015,0.015
31.03.2021 06:30:12.649 GMT-0700,121.69200000000001,121.66799999999999,0.015,0.015
31.03.2021 06:30:12.700 GMT-0700,121.68299999999999,121.65700000000001,0.015,0.015
31.03.2021 06:30:12.813 GMT-0700,121.633,121.617,0.015,0.015
31.03.2021 06:30:12.864 GMT-0700,121.65200000000002,121.618,0.015,0.015
31.03.2021 06:30:12.926 GMT-0700,121.65299999999999,121.62700000000001,0.015,0.015
31.03.2021 06:30:12.976 GMT-0700,121.65299999999999,121.617,0.015,0.015
31.03.2021 06:30:13.070 GMT-0700,121.65299999999999,121.62700000000001,0.0075,0.0012
31.03.2021 06:30:13.120 GMT-0700,121.65299999999999,121.617,0.015,0.015
31.03.2021 06:30:13.665 GMT-0700,121.62200000000001,121.57799999999999,0.015,0.015
31.03.2021 06:30:13.715 GMT-0700,121.62200000000001,121.60799999999999,0.015,0.015
31.03.2021 06:30:13.866 GMT-0700,121.61200000000001,121.57799999999999,0.015,0.015
31.03.2021 06:30:13.916 GMT-0700,121.59299999999999,121.55700000000002,0.015,0.015
31.03.2021 06:30:13.966 GMT-0700,121.59299999999999,121.54700000000001,0.015,0.015
31.03.2021 06:30:14.017 GMT-0700,121.56200000000001,121.49799999999999,0.015,0.015
