Local time,Ask,Bid,AskVolume,BidVolume
01.04.2021 06:30:14.044 GMT-0700,115.59299999999999,115.117,0.1,0.1
01.04.2021 06:30:14.248 GMT-0700,115.59299999999999,115.117,0.0008,0.1
01.04.2021 06:30:14.700 GMT-0700,115.59200000000001,115.408,0.1,0.075
01.04.2021 06:30:15.095 GMT-0700,115.59299999999999,115.15700000000001,0.1,0.0008
01.04.2021 06:30:15.746 GMT-0700,115.603,115.15700000000001,0.1,0.1
01.04.2021 06:30:18.813 GMT-0700,115.602,115.118,0.1,0.1
01.04.2021 06:30:18.899 GMT-0700,115.56200000000001,115.118,0.1,0.1
01.04.2021 06:31:25.092 GMT-0700,115.603,115.27700000000002,0.075,0.1
01.04.2021 06:31:34.959 GMT-0700,115.602,115.288,0.1,0.075
01.04.2021 06:31:35.060 GMT-0700,115.603,115.27700000000002,0.1,0.1
01.04.2021 06:31:37.050 GMT-0700,115.603,115.287,0.1,0.075
01.04.2021 06:31:37.336 GMT-0700,115.602,115.27799999999999,0.1,0.1
01.04.2021 06:31:40.803 GMT-0700,115.602,115.288,0.1,0.1
01.04.2021 06:31:40.945 GMT-0700,115.603,115.27700000000002,0.1,0.1
01.04.2021 06:31:40.998 GMT-0700,115.603,115.35700000000001,0.075,0.0008
01.04.2021 06:32:28.894 GMT-0700,115.742,115.27799999999999,0.075,0.1
01.04.2021 06:32:31.711 GMT-0700,115.742,115.288,0.1,0.1
01.04.2021 06:32:32.101 GMT-0700,115.853,115.397,0.1,0.1
01.04.2021 06:32:36.239 GMT-0700,115.68200000000002,115.398,0.075,0.0008
01.04.2021 06:32:36.290 GMT-0700,115.68299999999999,115.27700000000002,0.1,0.1
01.04.2021 06:32:41.762 GMT-0700,115.65200000000002,115.27799999999999,0.0008,0.1
01.04.2021 06:32:48.605 GMT-0700,115.64200000000001,115.288,0.075,0.075
01.04.2021 06:32:48.846 GMT-0700,115.65200000000002,115.27799999999999,0.1,0.1
01.04.2021 06:32:50.394 GMT-0700,115.643,115.27700000000002,0.0008,0.1
01.04.2021 06:32:50.445 GMT-0700,115.632,115.208,0.1,0.1
01.04.2021 06:32:50.749 GMT-0700,115.51200000000001,115.198,0.075,0.1
01.04.2021 06:32:52.871 GMT-0700,115.65299999999999,115.197,0.1,0.1
01.04.2021 06:32:52.950 GMT-0700,115.493,115.197,0.075,0.1
01.04.2021 06:32:58.540 GMT-0700,115.65200000000002,115.198,0.1,0.1
01.04.2021 06:32:58.590 GMT-0700,115.48200000000001,115.198,0.1,0.1
01.04.2021 06:32:59.453 GMT-0700,115.65200000000002,115.198,0.1,0.1
01.04.2021 06:32:59.503 GMT-0700,115.522,115.198,0.1,0.1
01.04.2021 06:33:01.230 GMT-0700,115.522,115.208,0.1,0.075
01.04.2021 06:33:01.497 GMT-0700,115.523,115.197,0.1,0.1
01.04.2021 06:33:03.296 GMT-0700,115.65299999999999,115.197,0.1,0.1
01.04.2021 06:33:03.349 GMT-0700,115.48200000000001,115.198,0.0008,0.1
01.04.2021 06:33:03.692 GMT-0700,115.48299999999999,115.337,0.075,0.0008
01.04.2021 06:33:03.743 GMT-0700,115.643,115.21700000000001,0.1,0.1
01.04.2021 06:33:03.971 GMT-0700,115.56299999999999,115.21700000000001,0.0008,0.1
01.04.2021 06:33:04.482 GMT-0700,115.643,115.21700000000001,0.1,0.1
01.04.2021 06:33:04.532 GMT-0700,115.632,115.21799999999999,0.1,0.1
01.04.2021 06:33:04.633 GMT-0700,115.64200000000001,115.228,0.1,0.1
