Local time,Ask,Bid,AskVolume,BidVolume
30.03.2021 06:30:00.193 GMT-0700,184.483,183.70700000000002,0.1,0.1
30.03.2021 06:30:05.821 GMT-0700,184.483,183.70700000000002,0.1,0.1
30.03.2021 06:30:06.081 GMT-0700,184.483,183.70700000000002,0.1,0.1
30.03.2021 06:30:10.357 GMT-0700,184.47299999999998,183.70700000000002,0.0008,0.1
30.03.2021 06:30:10.665 GMT-0700,184.482,183.708,0.1,0.1
30.03.2021 06:30:11.168 GMT-0700,184.47299999999998,183.70700000000002,0.0008,0.1
30.03.2021 06:30:11.219 GMT-0700,184.482,183.708,0.1,0.1
30.03.2021 06:30:12.449 GMT-0700,184.472,183.708,0.0008,0.1
30.03.2021 06:30:12.872 GMT-0700,184.483,183.70700000000002,0.1,0.1
30.03.2021 06:30:13.082 GMT-0700,184.103,183.70700000000002,0.0008,0.1
30.03.2021 06:30:13.132 GMT-0700,183.893,183.42700000000002,0.1,0.1
30.03.2021 06:30:13.657 GMT-0700,184.47299999999998,183.507,0.1,0.1
30.03.2021 06:30:15.718 GMT-0700,184.47299999999998,183.507,0.1,0.1
30.03.2021 06:30:15.978 GMT-0700,184.483,183.48700000000002,0.1,0.1
30.03.2021 06:30:16.522 GMT-0700,184.482,183.488,0.1,0.1
30.03.2021 06:30:16.573 GMT-0700,184.483,183.48700000000002,0.1,0.1
30.03.2021 06:30:19.119 GMT-0700,184.47299999999998,183.497,0.1,0.1
30.03.2021 06:30:19.625 GMT-0700,184.482,183.488,0.1,0.1
30.03.2021 06:30:20.980 GMT-0700,184.483,183.48700000000002,0.1,0.1
30.03.2021 06:30:21.081 GMT-0700,184.372,183.498,0.1,0.1
30.03.2021 06:30:21.201 GMT-0700,184.363,183.507,0.1,0.1
30.03.2021 06:30:21.425 GMT-0700,184.372,183.498,0.1,0.1
30.03.2021 06:30:23.042 GMT-0700,184.363,183.507,0.1,0.1
30.03.2021 06:30:23.092 GMT-0700,184.372,183.498,0.1,0.1
30.03.2021 06:30:26.204 GMT-0700,184.363,183.497,0.0008,0.1
30.03.2021 06:30:26.333 GMT-0700,184.372,183.498,0.1,0.1
30.03.2021 06:30:27.382 GMT-0700,184.372,183.508,0.1,0.075
30.03.2021 06:30:27.676 GMT-0700,184.372,183.498,0.1,0.1
30.03.2021 06:30:28.556 GMT-0700,184.372,183.508,0.1,0.075
30.03.2021 06:30:29.028 GMT-0700,183.993,183.507,0.0008,0.075
30.03.2021 06:30:29.107 GMT-0700,183.99200000000002,183.498,0.1,0.1
30.03.2021 06:30:29.158 GMT-0700,183.99200000000002,183.548,0.1,0.1
30.03.2021 06:30:30.051 GMT-0700,183.993,183.567,0.1,0.1
30.03.2021 06:30:32.062 GMT-0700,183.99200000000002,183.488,0.1,0.1
30.03.2021 06:30:33.083 GMT-0700,183.99200000000002,183.468,0.1,0.1
30.03.2021 06:30:33.133 GMT-0700,183.853,183.467,0.1,0.1
30.03.2021 06:30:33.760 GMT-0700,183.852,183.56799999999998,0.1,0.1
30.03.2021 06:30:34.198 GMT-0700,183.852,183.558,0.1,0.1
30.03.2021 06:30:34.252 GMT-0700,183.853,183.55700000000002,0.1,0.1
30.03.2021 06:30:38.091 GMT-0700,183.853,183.27700000000002,0.1,0.1
30.03.2021 06:30:38.228 GMT-0700,183.852,183.268,0.1,0.1
30.03.2021 06:30:38.278 GMT-0700,183.853,183.467,0.1,0.1
30.03.2021 06:30:38.391 GMT-0700,183.853,183.567,0.1,0.075
30.03.2021 06:30:38.575 GMT-0700,183.853,183.55700000000002,0.1,0.1
30.03.2021 06:30:38.957 GMT-0700,183.853,183.55700000000002,0.1,0.1
30.03.2021 06:30:39.166 GMT-0700,183.853,183.637,0.1,0.075
30.03.2021 06:30:39.758 GMT-0700,183.852,183.578,0.1,0.1
30.03.2021 06:30:43.245 GMT-0700,183.99200000000002,183.578,0.1,0.1
30.03.2021 06:30:43.315 GMT-0700,183.982,183.578,0.0008,0.1
30.03.2021 06:30:43.517 GMT-0700,183.99200000000002,183.578,0.1,0.1
30.03.2021 06:30:45.645 GMT-0700,183.982,183.578,0.0008,0.1
30.03.2021 06:30:45.695 GMT-0700,183.99200000000002,183.578,0.1,0.1
30.03.2021 06:30:47.336 GMT-0700,183.983,183.577,0.0008,0.1
30.03.2021 06:30:47.476 GMT-0700,183.993,183.577,0.1,0.1
30.03.2021 06:30:48.521 GMT-0700,183.983,183.577,0.0008,0.1
