Local time,Ask,Bid,AskVolume,BidVolume
31.03.2021 06:30:00.167 GMT-0700,54.403000000000006,53.917,0.01,0
31.03.2021 06:30:00.633 GMT-0700,54.093,53.927,0.0075,0.0075
31.03.2021 06:30:01.369 GMT-0700,54.043000000000006,53.927,0,0.01
31.03.2021 06:30:03.013 GMT-0700,54.093,53.977,0.01,0.01
31.03.2021 06:30:03.113 GMT-0700,53.973000000000006,53.917,0.01,0.01
31.03.2021 06:30:03.563 GMT-0700,53.963,53.917,0.01,0.01
31.03.2021 06:30:05.377 GMT-0700,53.953,53.897,0.01,0.01
31.03.2021 06:30:05.428 GMT-0700,53.923,53.887,0.01,0.01
31.03.2021 06:30:05.478 GMT-0700,54.093,53.887,0.01,0.01
31.03.2021 06:30:05.528 GMT-0700,53.923,53.887,0.01,0.01
31.03.2021 06:30:05.847 GMT-0700,54.093,53.887,0.01,0.01
31.03.2021 06:30:05.987 GMT-0700,53.953,53.887,0,0.01
31.03.2021 06:30:06.087 GMT-0700,53.943000000000005,53.516999999999996,0.01,0.01
31.03.2021 06:30:06.389 GMT-0700,53.943000000000005,53.677,0.01,0.01
31.03.2021 06:30:08.991 GMT-0700,53.963,53.516999999999996,0.01,0.01
31.03.2021 06:30:09.042 GMT-0700,54.093,53.516999999999996,0.01,0.01
31.03.2021 06:30:09.247 GMT-0700,54.093,53.897,0.01,0
31.03.2021 06:30:09.415 GMT-0700,53.953,53.897,0.01,0.01
31.03.2021 06:30:10.337 GMT-0700,53.953,53.927,0.01,0.01
31.03.2021 06:30:10.388 GMT-0700,53.963,53.917,0.01,0.01
31.03.2021 06:30:10.462 GMT-0700,53.978,53.937,0.0075,0
31.03.2021 06:30:10.512 GMT-0700,53.973000000000006,53.927,0.01,0.01
31.03.2021 06:30:11.120 GMT-0700,53.985,53.946000000000005,0,0.0075
31.03.2021 06:30:11.171 GMT-0700,54.093,53.947,0.01,0.01
31.03.2021 06:30:13.135 GMT-0700,54.003,53.957,0.0075,0.0075
31.03.2021 06:30:13.185 GMT-0700,54.003,53.927,0.01,0.01
31.03.2021 06:30:13.631 GMT-0700,54.093,53.977,0.01,0.01
31.03.2021 06:30:13.682 GMT-0700,54.093,53.667,0.01,0.01
31.03.2021 06:30:13.811 GMT-0700,54.093,53.997,0.01,0.01
31.03.2021 06:30:13.861 GMT-0700,54.093,53.667,0.01,0.01
31.03.2021 06:30:14.298 GMT-0700,54.093,54.027,0.01,0.0075
31.03.2021 06:30:14.617 GMT-0700,54.093,53.667,0.01,0.01
31.03.2021 06:30:14.894 GMT-0700,54.093999999999994,54.026,0.01,0.01
31.03.2021 06:30:15.795 GMT-0700,54.13,54.077,0.0075,0
31.03.2021 06:30:15.846 GMT-0700,54.173,54.107,0.01,0.01
31.03.2021 06:30:15.946 GMT-0700,54.403000000000006,54.157,0.01,0.01
31.03.2021 06:30:15.997 GMT-0700,54.403000000000006,54.027,0.01,0.01
31.03.2021 06:30:16.310 GMT-0700,54.403000000000006,54.177,0.01,0.01
31.03.2021 06:30:16.361 GMT-0700,54.403000000000006,54.027,0.01,0.01
31.03.2021 06:30:16.864 GMT-0700,54.403000000000006,54.047,0.01,0.01
31.03.2021 06:30:16.914 GMT-0700,54.403000000000006,54.027,0.01,0.01
31.03.2021 06:30:17.207 GMT-0700,54.403000000000006,54.187,0.01,0
