Local time,Ask,Bid,AskVolume,BidVolume
08.03.2021 08:30:10.106 GMT-0600,174.96200000000002,174.768,0.011,0.011
08.03.2021 08:30:10.157 GMT-0600,174.96200000000002,174.758,0.011,0.011
08.03.2021 08:30:10.292 GMT-0600,175.003,174.83700000000002,0.011,0.0075
08.03.2021 08:30:10.343 GMT-0600,175.003,174.757,0.011,0.011
08.03.2021 08:30:17.046 GMT-0600,175.253,174.757,0.011,0.011
08.03.2021 08:30:17.162 GMT-0600,175.253,174.76700000000002,0.011,0.011
08.03.2021 08:30:17.265 GMT-0600,175.012,174.758,0.011,0.011
08.03.2021 08:30:18.017 GMT-0600,174.843,174.62,0.0075,0.0008
08.03.2021 08:30:42.385 GMT-0600,174.683,173.847,0.0075,0.011
08.03.2021 08:30:44.450 GMT-0600,174.493,174.287,0.0008,0.0075
08.03.2021 08:30:44.826 GMT-0600,174.22299999999998,173.567,0.0008,0.011
08.03.2021 08:30:45.988 GMT-0600,174.062,173.31799999999998,0.0075,0.011
08.03.2021 08:30:46.337 GMT-0600,174.062,173.328,0.011,0.0075
08.03.2021 08:30:47.223 GMT-0600,173.86200000000002,173.438,0.0075,0.0075
08.03.2021 08:30:47.274 GMT-0600,174.062,173.438,0.011,0.011
08.03.2021 08:30:50.745 GMT-0600,174.133,173.327,0.011,0.011
08.03.2021 08:30:51.026 GMT-0600,173.90200000000002,173.328,0.0008,0.011
08.03.2021 08:30:51.692 GMT-0600,173.903,173.33700000000002,0.011,0.0075
08.03.2021 08:30:51.744 GMT-0600,173.90200000000002,173.31799999999998,0.011,0.011
08.03.2021 08:30:52.198 GMT-0600,173.90200000000002,173.328,0.011,0.0075
08.03.2021 08:30:53.616 GMT-0600,173.90200000000002,173.338,0.011,0.011
08.03.2021 08:30:53.744 GMT-0600,174.122,173.31799999999998,0.011,0.011
08.03.2021 08:30:54.037 GMT-0600,174.133,173.317,0.011,0.011
08.03.2021 08:30:54.199 GMT-0600,174.133,173.327,0.011,0.0008
08.03.2021 08:30:55.280 GMT-0600,174.122,173.338,0.0008,0.0008
08.03.2021 08:30:55.380 GMT-0600,174.132,173.31799999999998,0.011,0.011
08.03.2021 08:30:55.779 GMT-0600,174.132,173.328,0.011,0.0008
08.03.2021 08:30:57.338 GMT-0600,174.123,173.33700000000002,0.0075,0.0075
08.03.2021 08:30:57.632 GMT-0600,174.133,173.317,0.011,0.011
08.03.2021 08:30:57.850 GMT-0600,174.133,173.327,0.011,0.0075
08.03.2021 08:30:58.275 GMT-0600,174.123,173.33700000000002,0.011,0.011
08.03.2021 08:30:58.325 GMT-0600,174.132,173.31799999999998,0.011,0.011
08.03.2021 08:30:58.813 GMT-0600,174.132,173.328,0.011,0.0075
08.03.2021 08:30:59.118 GMT-0600,174.122,173.338,0.011,0.011
08.03.2021 08:30:59.393 GMT-0600,174.133,173.317,0.011,0.011
08.03.2021 08:30:59.835 GMT-0600,174.132,173.328,0.011,0.0075
08.03.2021 08:31:00.225 GMT-0600,174.122,173.338,0.011,0.011
08.03.2021 08:31:00.335 GMT-0600,174.133,173.317,0.011,0.011
08.03.2021 08:31:00.734 GMT-0600,174.133,173.327,0.011,0.0008
08.03.2021 08:31:00.961 GMT-0600,174.122,173.338,0.0075,0.0075
08.03.2021 08:31:01.147 GMT-0600,174.133,173.317,0.011,0.011
08.03.2021 08:31:01.640 GMT-0600,174.132,173.328,0.011,0.0008
08.03.2021 08:31:02.074 GMT-0600,174.123,173.33700000000002,0.0075,0.0075
08.03.2021 08:31:02.234 GMT-0600,174.132,173.31799999999998,0.011,0.011
08.03.2021 08:31:02.990 GMT-0600,174.133,173.327,0.011,0.0075
08.03.2021 08:31:03.416 GMT-0600,174.122,173.338,0.0075,0.0075
08.03.2021 08:31:03.940 GMT-0600,174.133,173.317,0.011,0.011
08.03.2021 08:31:05.803 GMT-0600,174.122,173.328,0.011,0.011
08.03.2021 08:31:06.188 GMT-0600,174.133,173.317,0.011,0.011
08.03.2021 08:31:07.801 GMT-0600,174.122,173.698,0.0075,0.0075
08.03.2021 08:31:07.852 GMT-0600,174.132,173.31799999999998,0.011,0.011
08.03.2021 08:31:09.171 GMT-0600,174.122,173.328,0.011,0.011
08.03.2021 08:31:09.323 GMT-0600,174.132,173.31799999999998,0.011,0.011
08.03.2021 08:31:10.634 GMT-0600,174.122,173.328,0.0008,0.0008
08.03.2021 08:31:10.737 GMT-0600,174.132,173.328,0.011,0.011
08.03.2021 08:31:11.899 GMT-0600,174.122,173.338,0.011,0.011
08.03.2021 08:31:12.053 GMT-0600,174.132,173.31799999999998,0.011,0.011
08.03.2021 08:31:12.810 GMT-0600,174.123,173.327,0.0075,0.0075
08.03.2021 08:31:12.910 GMT-0600,174.133,173.317,0.011,0.011
08.03.2021 08:31:13.433 GMT-0600,174.122,173.328,0.011,0.011
08.03.2021 08:31:13.606 GMT-0600,174.133,173.317,0.011,0.011
08.03.2021 08:31:16.489 GMT-0600,174.122,173.328,0.011,0.011
08.03.2021 08:31:16.539 GMT-0600,174.123,173.317,0.011,0.011
08.03.2021 08:31:16.590 GMT-0600,174.133,173.317,0.011,0.011
08.03.2021 08:31:16.640 GMT-0600,174.132,173.628,0.011,0.011
08.03.2021 08:31:16.746 GMT-0600,174.133,173.317,0.011,0.011
08.03.2021 08:31:17.202 GMT-0600,174.133,173.327,0.011,0.0008
08.03.2021 08:31:17.302 GMT-0600,174.132,173.31799999999998,0.011,0.011
08.03.2021 08:31:17.907 GMT-0600,174.132,173.328,0.011,0.0075
08.03.2021 08:31:18.301 GMT-0600,174.132,173.31799999999998,0.011,0.011
08.03.2021 08:31:19.331 GMT-0600,174.132,173.328,0.011,0.0075
08.03.2021 08:31:19.703 GMT-0600,174.132,173.31799999999998,0.011,0.011
08.03.2021 08:31:20.340 GMT-0600,174.133,173.327,0.011,0.011
08.03.2021 08:31:20.473 GMT-0600,174.132,173.31799999999998,0.011,0.011
08.03.2021 08:31:20.999 GMT-0600,174.133,173.327,0.011,0.0008
08.03.2021 08:31:21.489 GMT-0600,174.133,173.317,0.011,0.011
08.03.2021 08:31:23.417 GMT-0600,174.133,173.827,0.011,0.0075
08.03.2021 08:31:23.467 GMT-0600,174.133,173.317,0.011,0.011
08.03.2021 08:31:23.625 GMT-0600,174.132,173.758,0.011,0.0075
08.03.2021 08:31:23.676 GMT-0600,174.133,173.317,0.011,0.011
08.03.2021 08:31:25.055 GMT-0600,174.132,173.328,0.011,0.011
08.03.2021 08:31:25.197 GMT-0600,174.132,173.31799999999998,0.011,0.011
08.03.2021 08:31:26.126 GMT-0600,174.132,173.698,0.011,0.0075
08.03.2021 08:31:27.332 GMT-0600,174.132,173.708,0.011,0.0075
08.03.2021 08:31:27.383 GMT-0600,174.133,173.697,0.011,0.011
08.03.2021 08:31:28.295 GMT-0600,174.133,173.70700000000002,0.011,0.0075
08.03.2021 08:31:28.567 GMT-0600,174.133,173.747,0.011,0.011
08.03.2021 08:31:30.581 GMT-0600,174.133,173.757,0.011,0.011
08.03.2021 08:31:30.869 GMT-0600,174.133,173.747,0.011,0.011
08.03.2021 08:31:31.967 GMT-0600,174.132,173.758,0.011,0.0008
08.03.2021 08:31:32.067 GMT-0600,174.132,173.748,0.011,0.011
08.03.2021 08:31:33.283 GMT-0600,174.622,173.748,0.011,0.011
08.03.2021 08:31:34.501 GMT-0600,174.61200000000002,173.758,0.0075,0.0075
08.03.2021 08:31:34.612 GMT-0600,174.623,173.747,0.011,0.011
08.03.2021 08:31:37.778 GMT-0600,174.613,173.757,0.0075,0.0075
08.03.2021 08:31:37.984 GMT-0600,174.623,173.747,0.011,0.011
08.03.2021 08:31:38.534 GMT-0600,174.61200000000002,173.758,0.011,0.011
08.03.2021 08:31:38.855 GMT-0600,174.623,173.747,0.011,0.011
08.03.2021 08:31:40.092 GMT-0600,174.61200000000002,173.758,0.011,0.011
08.03.2021 08:31:40.363 GMT-0600,174.623,173.747,0.011,0.011
08.03.2021 08:31:40.901 GMT-0600,174.61200000000002,173.758,0.0008,0.0008
08.03.2021 08:31:41.002 GMT-0600,174.623,173.747,0.011,0.011
08.03.2021 08:31:41.901 GMT-0600,174.613,173.757,0.0075,0.0075
08.03.2021 08:31:41.952 GMT-0600,174.622,173.748,0.011,0.011
08.03.2021 08:31:42.856 GMT-0600,174.61200000000002,173.758,0.0075,0.0075
08.03.2021 08:31:43.100 GMT-0600,174.623,173.747,0.011,0.011
08.03.2021 08:31:43.934 GMT-0600,174.61200000000002,173.748,0.0075,0.011
08.03.2021 08:31:44.138 GMT-0600,174.61200000000002,173.758,0.011,0.0075
08.03.2021 08:31:44.338 GMT-0600,174.622,173.748,0.011,0.011
08.03.2021 08:31:44.789 GMT-0600,174.613,173.757,0.011,0.011
08.03.2021 08:31:44.901 GMT-0600,174.622,173.748,0.011,0.011
08.03.2021 08:31:45.815 GMT-0600,174.613,173.757,0.0008,0.0008
08.03.2021 08:31:46.252 GMT-0600,174.623,173.747,0.011,0.011
08.03.2021 08:31:47.374 GMT-0600,174.61200000000002,173.758,0.011,0.011
08.03.2021 08:31:47.604 GMT-0600,174.622,173.748,0.011,0.011
08.03.2021 08:31:48.617 GMT-0600,174.613,173.757,0.0075,0.0075
08.03.2021 08:31:48.718 GMT-0600,174.622,173.748,0.011,0.011
08.03.2021 08:31:51.039 GMT-0600,174.61200000000002,173.758,0.0075,0.0075
08.03.2021 08:31:51.212 GMT-0600,174.622,173.748,0.011,0.011
08.03.2021 08:31:52.390 GMT-0600,174.622,173.758,0.011,0.0008
08.03.2021 08:31:52.440 GMT-0600,174.623,173.747,0.011,0.011
08.03.2021 08:31:53.091 GMT-0600,174.61200000000002,173.758,0.0075,0.0075
08.03.2021 08:31:53.452 GMT-0600,174.623,173.747,0.011,0.011
08.03.2021 08:31:54.187 GMT-0600,174.172,173.748,0.0075,0.011
08.03.2021 08:31:54.238 GMT-0600,174.623,173.747,0.011,0.011
08.03.2021 08:31:54.358 GMT-0600,174.61200000000002,173.748,0.0008,0.011
