Local time,Ask,Bid,AskVolume,BidVolume
23.03.2020 08:30:04.943 GMT-0500,227.96200000000002,227.938,0.02,0.02
23.03.2020 08:30:05.053 GMT-0500,227.963,227.937,0.02,0.02
23.03.2020 08:30:05.257 GMT-0500,228.002,227.938,0.02,0.0075
23.03.2020 08:30:05.360 GMT-0500,227.982,227.938,0.02,0.02
23.03.2020 08:30:23.404 GMT-0500,225.072,224.988,0.02,0.02
23.03.2020 08:30:23.730 GMT-0500,225.072,224.998,0.0075,0.0075
23.03.2020 08:30:25.402 GMT-0500,225.05200000000002,224.988,0.02,0.02
23.03.2020 08:30:27.566 GMT-0500,225.19299999999998,225.107,0.0075,0.0075
23.03.2020 08:30:32.635 GMT-0500,225.093,225.028,0.0075,0.0075
23.03.2020 08:30:33.412 GMT-0500,224.702,224.608,0.0075,0.0075
23.03.2020 08:30:33.462 GMT-0500,224.062,223.998,0.02,0.02
23.03.2020 08:30:33.512 GMT-0500,224.092,223.998,0.0075,0.0075
23.03.2020 08:31:18.306 GMT-0500,225.092,225.008,0.02,0.02
23.03.2020 08:31:37.648 GMT-0500,223.322,223.228,0.0075,0.0075
23.03.2020 08:31:38.823 GMT-0500,222.912,222.81799999999998,0.02,0.02
23.03.2020 08:31:40.545 GMT-0500,222.542,222.458,0.0075,0.0075
23.03.2020 08:32:20.080 GMT-0500,224.97299999999998,224.877,0.02,0.02
23.03.2020 08:32:23.766 GMT-0500,224.49200000000002,224.418,0.0075,0.0075
23.03.2020 08:32:28.850 GMT-0500,224.852,224.768,0.02,0.02
23.03.2020 08:32:29.097 GMT-0500,224.842,224.768,0.0075,0.02
23.03.2020 08:32:30.486 GMT-0500,225.013,224.95700000000002,0.02,0.02
23.03.2020 08:32:52.173 GMT-0500,226.64200000000002,226.548,0.0075,0.0075
23.03.2020 08:33:08.301 GMT-0500,226.513,226.45700000000002,0.02,0.02
23.03.2020 08:33:50.659 GMT-0500,226.833,226.748,0.02,0.0075
23.03.2020 08:34:08.063 GMT-0500,226.72299999999998,226.64700000000002,0.02,0.02
23.03.2020 08:34:08.891 GMT-0500,226.99200000000002,226.908,0.0075,0.0075
23.03.2020 08:34:09.143 GMT-0500,227.003,226.917,0.02,0.02
23.03.2020 08:34:09.488 GMT-0500,227.003,226.918,0.02,0.0075
23.03.2020 08:34:09.640 GMT-0500,226.99200000000002,226.918,0.02,0.0075
23.03.2020 08:34:20.550 GMT-0500,226.632,226.548,0.02,0.0075
23.03.2020 08:34:34.662 GMT-0500,226.602,226.518,0.02,0.02
23.03.2020 08:34:34.925 GMT-0500,226.683,226.59799999999998,0.02,0.0075
23.03.2020 08:34:35.115 GMT-0500,226.683,226.597,0.02,0.02
23.03.2020 08:34:51.972 GMT-0500,225.513,225.42700000000002,0.02,0.02
23.03.2020 08:35:29.427 GMT-0500,223.86200000000002,223.768,0.0075,0.0075
23.03.2020 08:35:29.478 GMT-0500,223.722,223.628,0.02,0.02
23.03.2020 08:35:29.622 GMT-0500,223.72299999999998,223.627,0.02,0.0075
23.03.2020 08:35:39.137 GMT-0500,223.97299999999998,223.877,0.02,0.02
23.03.2020 08:35:43.661 GMT-0500,223.942,223.868,0.02,0.02
23.03.2020 08:35:44.003 GMT-0500,223.94299999999998,223.857,0.02,0.0075
23.03.2020 08:35:49.887 GMT-0500,224.593,224.507,0.02,0.02
23.03.2020 08:35:51.271 GMT-0500,224.803,224.727,0.0075,0.0075
23.03.2020 08:35:55.885 GMT-0500,224.663,224.567,0.02,0.0075
23.03.2020 08:35:56.097 GMT-0500,224.718,224.637,0.0075,0.0075
23.03.2020 08:36:03.744 GMT-0500,224.83200000000002,224.768,0.0075,0.0075
23.03.2020 08:36:12.810 GMT-0500,224.512,224.418,0.02,0.0075
23.03.2020 08:36:13.543 GMT-0500,224.653,224.558,0.02,0.0075
23.03.2020 08:36:14.998 GMT-0500,224.623,224.548,0.02,0.0075
23.03.2020 08:36:15.583 GMT-0500,224.622,224.528,0.02,0.02
23.03.2020 08:36:15.784 GMT-0500,224.77200000000002,224.698,0.02,0.02
23.03.2020 08:36:16.688 GMT-0500,224.852,224.778,0.02,0.0075
23.03.2020 08:36:16.840 GMT-0500,224.852,224.778,0.0075,0.0075
23.03.2020 08:36:43.300 GMT-0500,224.873,224.788,0.02,0.0075
23.03.2020 08:36:43.680 GMT-0500,224.90200000000002,224.838,0.02,0.02
23.03.2020 08:37:03.548 GMT-0500,223.262,223.208,0.02,0.0075
23.03.2020 08:37:08.943 GMT-0500,223.993,223.977,0.0075,0.0075
23.03.2020 08:37:15.363 GMT-0500,224.33200000000002,224.248,0.02,0.0075
23.03.2020 08:37:22.764 GMT-0500,223.523,223.468,0.0075,0.0075
23.03.2020 08:37:33.901 GMT-0500,223.703,223.608,0.02,0.0075
23.03.2020 08:37:34.134 GMT-0500,223.69299999999998,223.59799999999998,0.02,0.0075
23.03.2020 08:37:47.157 GMT-0500,223.793,223.70700000000002,0.0075,0.01
23.03.2020 08:37:53.988 GMT-0500,223.58200000000002,223.488,0.0075,0.0075
23.03.2020 08:38:00.775 GMT-0500,223.12,223.077,0.0075,0.0075
23.03.2020 08:38:01.892 GMT-0500,222.823,222.808,0.0075,0.0075
23.03.2020 08:38:03.165 GMT-0500,222.593,222.52700000000002,0.02,0.02
23.03.2020 08:38:03.764 GMT-0500,222.378,222.308,0.0075,0.0075
23.03.2020 08:38:13.178 GMT-0500,222.27200000000002,222.178,0.0075,0.0075
23.03.2020 08:38:33.592 GMT-0500,220.472,220.398,0.0075,0.0075
23.03.2020 08:38:33.664 GMT-0500,220.472,220.388,0.0075,0.0075
23.03.2020 08:38:33.761 GMT-0500,220.472,220.388,0.02,0.0075
23.03.2020 08:38:33.812 GMT-0500,220.433,220.338,0.02,0.0075
23.03.2020 08:38:38.145 GMT-0500,220.072,219.998,0.0075,0.0075
23.03.2020 08:38:44.783 GMT-0500,220.093,219.997,0.02,0.02
23.03.2020 08:38:45.003 GMT-0500,220.083,219.98700000000002,0.02,0.02
23.03.2020 08:38:51.004 GMT-0500,220.092,219.998,0.0075,0.0075
23.03.2020 08:39:00.365 GMT-0500,219.282,219.198,0.0075,0.0075
23.03.2020 08:39:06.472 GMT-0500,219.603,219.507,0.0075,0.02
23.03.2020 08:39:18.160 GMT-0500,218.83200000000002,218.738,0.0075,0.0075
23.03.2020 08:39:19.610 GMT-0500,218.633,218.56799999999998,0.02,0.0075
23.03.2020 08:39:19.700 GMT-0500,218.64200000000002,218.56799999999998,0.0075,0.0075
23.03.2020 08:39:32.989 GMT-0500,220.02200000000002,219.978,0.0075,0.0075
23.03.2020 08:40:13.012 GMT-0500,221.55200000000002,221.468,0.02,0.0075
23.03.2020 08:40:15.316 GMT-0500,222.18200000000002,222.088,0.02,0.0075
23.03.2020 08:40:23.471 GMT-0500,221.80200000000002,221.708,0.0075,0.0075
23.03.2020 08:40:58.544 GMT-0500,222.143,222.067,0.02,0.02
23.03.2020 08:41:04.353 GMT-0500,222.012,221.948,0.0075,0.0075
23.03.2020 08:41:07.294 GMT-0500,222.013,221.918,0.02,0.0075
23.03.2020 08:41:26.317 GMT-0500,222.132,222.038,0.02,0.02
23.03.2020 08:41:27.757 GMT-0500,222.133,222.058,0.02,0.0075
23.03.2020 08:42:57.338 GMT-0500,221.062,221.01700000000002,0.0075,0.0075
23.03.2020 08:43:03.486 GMT-0500,221.292,221.218,0.02,0.02
23.03.2020 08:43:12.601 GMT-0500,221.003,220.928,0.02,0.0075
23.03.2020 08:43:47.462 GMT-0500,222.543,222.447,0.02,0.02
23.03.2020 08:43:47.582 GMT-0500,222.543,222.48700000000002,0.0075,0.0075
23.03.2020 08:43:47.632 GMT-0500,222.572,222.488,0.0075,0.0075
23.03.2020 08:43:58.441 GMT-0500,222.533,222.45700000000002,0.02,0.02
23.03.2020 08:43:58.592 GMT-0500,222.573,222.498,0.02,0.0075
23.03.2020 08:43:58.997 GMT-0500,222.573,222.497,0.02,0.0075
23.03.2020 08:43:59.548 GMT-0500,222.573,222.507,0.02,0.0075
23.03.2020 08:43:59.599 GMT-0500,222.583,222.508,0.02,0.0075
23.03.2020 08:43:59.749 GMT-0500,222.562,222.478,0.02,0.02
23.03.2020 08:44:08.007 GMT-0500,221.833,221.788,0.02,0.0075
23.03.2020 08:44:08.057 GMT-0500,221.833,221.80700000000002,0.02,0.02
23.03.2020 08:44:10.361 GMT-0500,221.55200000000002,221.498,0.0075,0.0075
23.03.2020 08:44:36.340 GMT-0500,221.733,221.70700000000002,0.02,0.02
23.03.2020 08:44:38.347 GMT-0500,221.18200000000002,221.09799999999998,0.0075,0.0075
23.03.2020 08:44:47.643 GMT-0500,221.842,221.778,0.02,0.0075
23.03.2020 08:44:56.632 GMT-0500,221.09,221.058,0.0075,0.0075
23.03.2020 08:44:57.685 GMT-0500,221.05200000000002,220.988,0.0075,0.02
23.03.2020 08:44:58.380 GMT-0500,221.08200000000002,220.988,0.02,0.0075
23.03.2020 08:45:00.740 GMT-0500,220.952,220.858,0.02,0.02
23.03.2020 08:45:11.203 GMT-0500,220.11200000000002,220.048,0.0075,0.0075
23.03.2020 08:45:11.253 GMT-0500,220.11200000000002,220.028,0.02,0.02
23.03.2020 08:45:11.303 GMT-0500,220.072,220.008,0.0075,0.0075
23.03.2020 08:45:25.524 GMT-0500,220.083,219.998,0.02,0.0075
23.03.2020 08:45:27.825 GMT-0500,220.092,219.998,0.02,0.02
23.03.2020 08:45:37.261 GMT-0500,221.002,220.908,0.02,0.0075
23.03.2020 08:46:02.246 GMT-0500,221.283,221.278,0.0075,0.0075
23.03.2020 08:47:00.063 GMT-0500,221.183,221.08700000000002,0.02,0.02
23.03.2020 08:47:12.151 GMT-0500,221.572,221.488,0.02,0.02
23.03.2020 08:47:31.945 GMT-0500,222.313,222.23700000000002,0.02,0.02
23.03.2020 08:47:39.950 GMT-0500,222.19299999999998,222.107,0.02,0.02
23.03.2020 08:47:42.361 GMT-0500,222.502,222.448,0.02,0.02
23.03.2020 08:47:43.918 GMT-0500,222.452,222.39700000000002,0.0075,0.0075
23.03.2020 08:47:47.310 GMT-0500,223.253,223.168,0.0075,0.0075
23.03.2020 08:47:47.360 GMT-0500,223.252,223.158,0.0075,0.0075
23.03.2020 08:47:48.143 GMT-0500,223.252,223.168,0.02,0.02
23.03.2020 08:48:03.494 GMT-0500,223.02200000000002,222.928,0.0075,0.0075
23.03.2020 08:48:06.120 GMT-0500,223.093,223.08700000000002,0.0075,0.0075
23.03.2020 08:48:09.431 GMT-0500,223.61200000000002,223.528,0.02,0.0075
23.03.2020 08:48:10.922 GMT-0500,223.502,223.448,0.0075,0.0075
23.03.2020 08:48:12.782 GMT-0500,223.803,223.708,0.02,0.0075
23.03.2020 08:48:13.534 GMT-0500,223.893,223.81799999999998,0.0075,0.0075
23.03.2020 08:48:22.332 GMT-0500,224.002,223.918,0.0075,0.0075
23.03.2020 08:48:25.947 GMT-0500,224.002,223.988,0.0075,0.0075
23.03.2020 08:48:26.199 GMT-0500,224.113,224.077,0.02,0.02
23.03.2020 08:48:26.301 GMT-0500,224.062,223.978,0.02,0.02
23.03.2020 08:48:26.499 GMT-0500,224.063,223.977,0.02,0.02
23.03.2020 08:48:26.549 GMT-0500,224.062,223.968,0.02,0.02
23.03.2020 08:48:27.664 GMT-0500,224.073,224.035,0.02,0.0075
23.03.2020 08:48:27.889 GMT-0500,224.233,224.158,0.02,0.0075
23.03.2020 08:48:31.834 GMT-0500,223.933,223.83700000000002,0.02,0.02
23.03.2020 08:48:32.034 GMT-0500,223.978,223.928,0.0075,0.0075
23.03.2020 08:48:43.995 GMT-0500,224.282,224.188,0.0075,0.02
23.03.2020 08:48:48.098 GMT-0500,223.982,223.918,0.02,0.02
23.03.2020 08:48:51.587 GMT-0500,223.982,223.908,0.0075,0.0075
23.03.2020 08:49:34.884 GMT-0500,223.822,223.748,0.0075,0.0075
23.03.2020 08:49:35.170 GMT-0500,223.823,223.77700000000002,0.02,0.02
23.03.2020 08:49:35.220 GMT-0500,223.753,223.73700000000002,0.02,0.02
23.03.2020 08:49:43.145 GMT-0500,223.373,223.298,0.02,0.0075
23.03.2020 08:49:59.333 GMT-0500,223.782,223.688,0.0075,0.02
23.03.2020 08:50:37.099 GMT-0500,222.882,222.788,0.02,0.02
23.03.2020 08:50:37.628 GMT-0500,223.083,222.997,0.02,0.02
23.03.2020 08:50:42.747 GMT-0500,223.282,223.198,0.0075,0.0075
23.03.2020 08:51:03.112 GMT-0500,223.132,223.037,0.0075,0.0075
23.03.2020 08:51:09.416 GMT-0500,223.372,223.278,0.0075,0.0075
23.03.2020 08:51:09.561 GMT-0500,223.373,223.327,0.0075,0.0075
23.03.2020 08:51:09.611 GMT-0500,223.442,223.358,0.02,0.02
23.03.2020 08:51:10.992 GMT-0500,223.513,223.438,0.02,0.0075
23.03.2020 08:51:17.632 GMT-0500,223.89200000000002,223.798,0.02,0.0075
23.03.2020 08:51:17.742 GMT-0500,223.89200000000002,223.828,0.02,0.0075
23.03.2020 08:51:17.842 GMT-0500,223.873,223.787,0.02,0.02
23.03.2020 08:51:17.974 GMT-0500,223.853,223.757,0.02,0.02
23.03.2020 08:51:18.027 GMT-0500,223.853,223.757,0.02,0.02
23.03.2020 08:51:18.472 GMT-0500,223.822,223.728,0.0075,0.0075
23.03.2020 08:51:19.680 GMT-0500,223.823,223.728,0.0075,0.0075
23.03.2020 08:51:20.657 GMT-0500,223.893,223.858,0.02,0.0075
23.03.2020 08:51:20.809 GMT-0500,223.893,223.852,0.02,0.0075
23.03.2020 08:51:20.860 GMT-0500,223.89200000000002,223.798,0.02,0.02
23.03.2020 08:51:21.037 GMT-0500,223.912,223.84799999999998,0.02,0.0075
23.03.2020 08:51:22.956 GMT-0500,223.833,223.748,0.02,0.0075
23.03.2020 08:51:27.298 GMT-0500,223.99200000000002,223.898,0.0075,0.02
23.03.2020 08:51:27.348 GMT-0500,224.073,223.997,0.02,0.02
23.03.2020 08:51:29.346 GMT-0500,224.002,223.908,0.02,0.02
23.03.2020 08:51:47.785 GMT-0500,224.502,224.428,0.02,0.02
23.03.2020 08:51:48.012 GMT-0500,224.502,224.42700000000002,0.02,0.0075
23.03.2020 08:51:49.401 GMT-0500,224.503,224.417,0.02,0.02
23.03.2020 08:51:50.463 GMT-0500,224.512,224.438,0.02,0.0075
23.03.2020 08:51:51.741 GMT-0500,224.623,224.56799999999998,0.02,0.0075
23.03.2020 08:51:51.841 GMT-0500,224.663,224.567,0.02,0.02
23.03.2020 08:51:52.317 GMT-0500,224.663,224.567,0.02,0.02
23.03.2020 08:51:52.738 GMT-0500,224.662,224.59799999999998,0.02,0.0075
23.03.2020 08:51:55.872 GMT-0500,224.663,224.608,0.02,0.0075
23.03.2020 08:51:56.365 GMT-0500,224.812,224.718,0.0075,0.0075
23.03.2020 08:51:59.729 GMT-0500,224.872,224.77700000000002,0.0075,0.0075
23.03.2020 08:52:00.064 GMT-0500,224.863,224.768,0.02,0.0075
23.03.2020 08:52:00.620 GMT-0500,224.872,224.77700000000002,0.0075,0.0075
23.03.2020 08:52:06.473 GMT-0500,224.412,224.31799999999998,0.0075,0.0075
23.03.2020 08:52:18.132 GMT-0500,225.003,224.908,0.02,0.0075
23.03.2020 08:52:18.257 GMT-0500,225.003,224.937,0.02,0.0075
23.03.2020 08:52:18.471 GMT-0500,225.012,224.928,0.02,0.02
23.03.2020 08:52:22.644 GMT-0500,225.013,224.968,0.02,0.0075
23.03.2020 08:52:26.553 GMT-0500,225.012,224.948,0.0075,0.0075
23.03.2020 08:52:26.603 GMT-0500,225.012,224.918,0.02,0.02
23.03.2020 08:52:27.258 GMT-0500,225.013,224.918,0.02,0.0075
23.03.2020 08:52:28.152 GMT-0500,225.013,224.937,0.02,0.0075
23.03.2020 08:52:28.202 GMT-0500,225.012,224.948,0.0075,0.0075
23.03.2020 08:52:28.253 GMT-0500,225.012,224.938,0.02,0.02
23.03.2020 08:52:28.984 GMT-0500,225.002,224.918,0.0075,0.0075
23.03.2020 08:52:29.302 GMT-0500,224.983,224.918,0.0075,0.0075
23.03.2020 08:52:29.407 GMT-0500,225.012,224.938,0.02,0.0075
23.03.2020 08:52:29.558 GMT-0500,225.003,224.95700000000002,0.02,0.02
23.03.2020 08:52:29.658 GMT-0500,225.003,224.918,0.02,0.0075
23.03.2020 08:52:29.882 GMT-0500,225.003,224.928,0.02,0.0075
23.03.2020 08:52:29.932 GMT-0500,225.003,224.918,0.02,0.0075
23.03.2020 08:52:29.982 GMT-0500,225.002,224.958,0.02,0.02
23.03.2020 08:52:30.033 GMT-0500,225.003,224.917,0.02,0.02
23.03.2020 08:52:30.419 GMT-0500,225.003,224.948,0.02,0.0075
23.03.2020 08:52:30.581 GMT-0500,225.002,224.968,0.02,0.02
23.03.2020 08:52:30.682 GMT-0500,225.002,224.908,0.02,0.02
23.03.2020 08:52:30.783 GMT-0500,225.002,224.958,0.0075,0.0075
23.03.2020 08:52:30.833 GMT-0500,225.013,224.947,0.02,0.02
23.03.2020 08:52:30.933 GMT-0500,225.013,224.958,0.02,0.0075
23.03.2020 08:52:31.152 GMT-0500,225.002,224.958,0.0075,0.02
23.03.2020 08:52:31.253 GMT-0500,225.013,224.92700000000002,0.02,0.02
23.03.2020 08:52:31.532 GMT-0500,225.012,224.967,0.0075,0.0075
23.03.2020 08:52:32.324 GMT-0500,224.89200000000002,224.798,0.02,0.02
23.03.2020 08:52:35.013 GMT-0500,224.83200000000002,224.778,0.0075,0.0075
23.03.2020 08:52:35.796 GMT-0500,224.72299999999998,224.64700000000002,0.02,0.02
23.03.2020 08:52:36.177 GMT-0500,224.643,224.54700000000003,0.0075,0.0075
23.03.2020 08:52:36.449 GMT-0500,224.662,224.56799999999998,0.0075,0.0075
23.03.2020 08:52:36.625 GMT-0500,224.64200000000002,224.56799999999998,0.0075,0.0075
23.03.2020 08:52:41.186 GMT-0500,224.69299999999998,224.608,0.02,0.0075
23.03.2020 08:52:41.410 GMT-0500,224.64200000000002,224.56799999999998,0.0075,0.0075
23.03.2020 08:52:42.801 GMT-0500,224.662,224.56799999999998,0.0075,0.0075
23.03.2020 08:52:43.065 GMT-0500,224.662,224.578,0.0075,0.0075
23.03.2020 08:52:43.604 GMT-0500,224.80200000000002,224.718,0.02,0.02
23.03.2020 08:52:46.168 GMT-0500,224.863,224.77700000000002,0.02,0.02
23.03.2020 08:52:49.102 GMT-0500,224.882,224.788,0.02,0.02
