Local time,Ask,Bid,AskVolume,BidVolume
23.03.2020 08:30:04.510 GMT-0500,1827.332,1825.017,0.0008,0.002
23.03.2020 08:30:04.884 GMT-0500,1829.392,1825.6870000000001,0.0008,0.002
23.03.2020 08:30:05.444 GMT-0500,1825.402,1821.9879999999998,0.002,0.002
23.03.2020 08:30:05.545 GMT-0500,1826.7420000000002,1825.018,0.002,0.002
23.03.2020 08:30:05.595 GMT-0500,1825.152,1821.9879999999998,0.002,0.002
23.03.2020 08:30:05.645 GMT-0500,1824.9120000000003,1821.987,0.0008,0.002
23.03.2020 08:30:06.274 GMT-0500,1824.9120000000003,1823.598,0.0008,0.0008
23.03.2020 08:30:06.325 GMT-0500,1825.8229999999999,1823.598,0.002,0.0008
23.03.2020 08:30:06.441 GMT-0500,1825.8329999999999,1823.598,0.002,0.0008
23.03.2020 08:30:06.492 GMT-0500,1825.8229999999999,1823.5970000000002,0.002,0.002
23.03.2020 08:30:06.666 GMT-0500,1825.8220000000001,1821.987,0.0008,0.002
23.03.2020 08:30:06.716 GMT-0500,1826.753,1824.767,0.002,0.002
23.03.2020 08:30:06.867 GMT-0500,1825.872,1821.987,0.002,0.002
23.03.2020 08:30:07.153 GMT-0500,1825.1620000000003,1821.9879999999998,0.002,0.002
23.03.2020 08:30:07.254 GMT-0500,1824.5629999999999,1822.4979999999998,0.002,0.0008
23.03.2020 08:30:09.434 GMT-0500,1824.9920000000002,1821.9879999999998,0.002,0.002
23.03.2020 08:30:10.010 GMT-0500,1824.9920000000002,1821.9879999999998,0.002,0.002
23.03.2020 08:30:10.061 GMT-0500,1824.9920000000002,1822.6070000000002,0.0008,0.002
23.03.2020 08:30:10.162 GMT-0500,1824.9920000000002,1822.707,0.0008,0.0008
23.03.2020 08:30:10.312 GMT-0500,1824.993,1823.0079999999998,0.002,0.0008
23.03.2020 08:30:10.431 GMT-0500,1824.043,1821.9879999999998,0.002,0.0008
23.03.2020 08:30:10.654 GMT-0500,1824.043,1821.9879999999998,0.002,0.0008
23.03.2020 08:30:10.755 GMT-0500,1823.7420000000002,1821.997,0.0008,0.002
23.03.2020 08:30:10.895 GMT-0500,1823.493,1821.997,0.0008,0.002
23.03.2020 08:30:10.946 GMT-0500,1823.493,1821.987,0.002,0.002
23.03.2020 08:30:11.097 GMT-0500,1823.493,1821.987,0.002,0.002
23.03.2020 08:30:11.469 GMT-0500,1823.4920000000002,1821.9979999999998,0.002,0.0008
23.03.2020 08:30:11.569 GMT-0500,1824.4520000000002,1821.4370000000001,0.0008,0.002
23.03.2020 08:30:11.620 GMT-0500,1824.4520000000002,1820.727,0.0008,0.002
23.03.2020 08:30:12.757 GMT-0500,1824.4520000000002,1822.0079999999998,0.002,0.0008
23.03.2020 08:30:12.949 GMT-0500,1824.4320000000002,1820.727,0.0008,0.002
23.03.2020 08:30:13.119 GMT-0500,1824.4320000000002,1820.7279999999998,0.002,0.002
23.03.2020 08:30:15.783 GMT-0500,1821.013,1819.9979999999998,0.002,0.0008
23.03.2020 08:30:17.539 GMT-0500,1821.793,1819.9979999999998,0.002,0.0008
23.03.2020 08:30:17.658 GMT-0500,1821.793,1820.0079999999998,0.002,0.0008
23.03.2020 08:30:18.593 GMT-0500,1821.8029999999999,1820.0079999999998,0.002,0.002
23.03.2020 08:30:18.643 GMT-0500,1822.4320000000002,1821.358,0.002,0.002
23.03.2020 08:30:18.727 GMT-0500,1822.2420000000002,1821.358,0.0008,0.0008
23.03.2020 08:30:18.778 GMT-0500,1822.4320000000002,1821.0079999999998,0.002,0.002
23.03.2020 08:30:19.115 GMT-0500,1822.2420000000002,1821.0079999999998,0.0008,0.002
23.03.2020 08:30:19.166 GMT-0500,1821.6229999999998,1820.007,0.002,0.002
23.03.2020 08:30:20.498 GMT-0500,1821.6229999999998,1819.9979999999998,0.002,0.002
23.03.2020 08:30:20.549 GMT-0500,1821.622,1819.9979999999998,0.002,0.002
23.03.2020 08:30:20.599 GMT-0500,1821.6229999999998,1820.0079999999998,0.002,0.0008
23.03.2020 08:30:20.741 GMT-0500,1821.6229999999998,1820.007,0.0008,0.002
