Local time,Ask,Bid,AskVolume,BidVolume
23.03.2020 08:30:00.027 GMT-0500,10.290000000000001,10.197000000000001,0.0008,0.002
23.03.2020 08:30:00.515 GMT-0500,10.263,10.197000000000001,0.002,0.002
23.03.2020 08:30:00.635 GMT-0500,10.262,10.198,0.002,0.002
23.03.2020 08:30:00.902 GMT-0500,10.262,10.198,0.0008,0.002
23.03.2020 08:30:00.953 GMT-0500,10.262,10.198,0.002,0.002
23.03.2020 08:30:01.212 GMT-0500,10.502,10.197000000000001,0.0008,0.002
23.03.2020 08:30:03.026 GMT-0500,10.503,10.197000000000001,0.002,0.002
23.03.2020 08:30:06.021 GMT-0500,10.502,10.258,0.0008,0.0008
23.03.2020 08:30:06.138 GMT-0500,10.282,10.248,0.0008,0.0008
23.03.2020 08:30:06.606 GMT-0500,10.273,10.258,0.0008,0.0008
23.03.2020 08:30:06.656 GMT-0500,10.293,10.247,0.002,0.002
23.03.2020 08:30:06.867 GMT-0500,10.273,10.247,0.0008,0.0008
23.03.2020 08:30:06.917 GMT-0500,10.292,10.208,0.0008,0.0008
23.03.2020 08:30:06.967 GMT-0500,10.293,10.227,0.002,0.002
23.03.2020 08:30:07.293 GMT-0500,10.293,10.227,0.002,0.002
23.03.2020 08:30:08.580 GMT-0500,10.292,10.247,0.0008,0.002
23.03.2020 08:30:10.094 GMT-0500,10.263,10.248,0.0008,0.0008
23.03.2020 08:30:15.564 GMT-0500,10.263,10.247,0.002,0.002
23.03.2020 08:30:18.180 GMT-0500,10.262,10.247,0.0008,0.002
23.03.2020 08:30:20.253 GMT-0500,10.263,10.247,0.002,0.002
23.03.2020 08:30:23.754 GMT-0500,10.262,10.248,0.0008,0.0008
23.03.2020 08:30:23.854 GMT-0500,10.253,10.237,0.002,0.002
23.03.2020 08:30:24.055 GMT-0500,10.243,10.227,0.002,0.002
23.03.2020 08:30:25.203 GMT-0500,10.242,10.227,0.0008,0.0008
23.03.2020 08:30:25.254 GMT-0500,10.243,10.197000000000001,0.002,0.002
23.03.2020 08:30:26.885 GMT-0500,10.233,10.197000000000001,0.0008,0.002
23.03.2020 08:30:27.557 GMT-0500,10.203,10.177000000000001,0.0008,0.002
23.03.2020 08:30:27.766 GMT-0500,10.193,10.177000000000001,0.0008,0.002
23.03.2020 08:30:27.867 GMT-0500,10.182,10.108,0.002,0.002
23.03.2020 08:30:28.468 GMT-0500,10.183,10.127,0.002,0.002
23.03.2020 08:30:29.145 GMT-0500,10.183,10.137,0.002,0.0008
23.03.2020 08:30:29.196 GMT-0500,10.183,10.127,0.002,0.002
23.03.2020 08:30:29.638 GMT-0500,10.173,10.127,0.002,0.002
23.03.2020 08:30:29.688 GMT-0500,10.173,10.097000000000001,0.002,0.002
23.03.2020 08:30:29.738 GMT-0500,10.162,10.097000000000001,0.0008,0.002
23.03.2020 08:30:29.982 GMT-0500,10.152000000000001,10.097999999999999,0.0008,0.0008
23.03.2020 08:30:30.226 GMT-0500,10.153,10.097000000000001,0.002,0.002
23.03.2020 08:30:30.366 GMT-0500,10.152000000000001,10.108,0.0008,0.0008
23.03.2020 08:30:30.472 GMT-0500,10.152000000000001,10.097999999999999,0.0008,0.002
23.03.2020 08:30:30.523 GMT-0500,10.152000000000001,10.097000000000001,0.0008,0.002
23.03.2020 08:30:30.573 GMT-0500,10.142000000000001,10.097999999999999,0.002,0.002
23.03.2020 08:30:31.486 GMT-0500,10.132000000000001,10.097999999999999,0.0008,0.002
23.03.2020 08:30:31.707 GMT-0500,10.122,10.097999999999999,0.0008,0.0008
23.03.2020 08:30:35.084 GMT-0500,10.112,10.068,0.0008,0.0008
23.03.2020 08:30:38.179 GMT-0500,10.112,10.078,0.0008,0.0008
23.03.2020 08:30:38.230 GMT-0500,10.113,10.067,0.002,0.002
23.03.2020 08:30:38.280 GMT-0500,10.112,10.097999999999999,0.002,0.002
23.03.2020 08:30:40.127 GMT-0500,10.113,10.097000000000001,0.002,0.002
23.03.2020 08:30:40.667 GMT-0500,10.112,10.097999999999999,0.0008,0.002
23.03.2020 08:30:40.718 GMT-0500,10.112,10.097999999999999,0.002,0.002
23.03.2020 08:30:40.768 GMT-0500,10.122,10.108,0.0008,0.0008
23.03.2020 08:30:40.931 GMT-0500,10.123,10.097000000000001,0.002,0.002
23.03.2020 08:30:41.570 GMT-0500,10.122,10.108,0.002,0.002
23.03.2020 08:30:41.731 GMT-0500,10.132000000000001,10.108,0.002,0.002
23.03.2020 08:30:42.639 GMT-0500,10.133,10.107000000000001,0.0008,0.002
23.03.2020 08:30:42.739 GMT-0500,10.152000000000001,10.117,0.0008,0.002
23.03.2020 08:30:43.141 GMT-0500,10.153,10.117,0.002,0.002
23.03.2020 08:30:43.243 GMT-0500,10.152000000000001,10.127,0.0008,0.002
23.03.2020 08:30:44.444 GMT-0500,10.172,10.127,0.0008,0.002
23.03.2020 08:30:44.733 GMT-0500,10.162,10.127,0.0008,0.002
23.03.2020 08:30:45.131 GMT-0500,10.163,10.127,0.002,0.002
23.03.2020 08:30:45.232 GMT-0500,10.162,10.137,0.0008,0.002
23.03.2020 08:30:45.385 GMT-0500,10.153,10.137,0.0008,0.002
