Local time,Ask,Bid,AskVolume,BidVolume
18.03.2020 08:30:01.781 GMT-0500,120.56200000000001,120.088,0.0008,0.0008
18.03.2020 08:30:02.087 GMT-0500,120.45200000000001,120.088,0.0008,0.0008
18.03.2020 08:30:02.258 GMT-0500,120.45200000000001,120.208,0.0008,0.0008
18.03.2020 08:30:02.309 GMT-0500,120.50200000000001,120.208,0.002,0.002
18.03.2020 08:30:02.460 GMT-0500,120.44200000000001,120.088,0.0008,0.0008
18.03.2020 08:30:02.615 GMT-0500,120.09299999999999,120.007,0.0008,0.0008
18.03.2020 08:30:02.665 GMT-0500,120.072,119.588,0.0008,0.0008
18.03.2020 08:30:02.782 GMT-0500,119.79200000000002,119.41799999999999,0.0008,0.0008
18.03.2020 08:30:02.932 GMT-0500,119.572,119.008,0.002,0.002
18.03.2020 08:30:04.163 GMT-0500,119.003,118.62700000000001,0.002,0.002
18.03.2020 08:30:04.486 GMT-0500,119.003,118.73700000000001,0.0008,0.0008
18.03.2020 08:30:04.536 GMT-0500,119.12299999999999,118.73700000000001,0.002,0.002
18.03.2020 08:30:04.587 GMT-0500,119.11200000000001,118.628,0.0008,0.0008
18.03.2020 08:30:04.827 GMT-0500,119.113,118.628,0.0008,0.0008
18.03.2020 08:30:04.878 GMT-0500,119.12200000000001,118.628,0.0008,0.0008
18.03.2020 08:30:04.928 GMT-0500,119.272,118.91799999999999,0.0008,0.0008
18.03.2020 08:30:05.059 GMT-0500,119.00200000000001,118.628,0.0008,0.0008
18.03.2020 08:30:05.202 GMT-0500,119.003,118.87700000000001,0.0008,0.0008
18.03.2020 08:30:05.252 GMT-0500,119.572,118.788,0.002,0.002
18.03.2020 08:30:05.303 GMT-0500,119.25200000000001,118.788,0.002,0.002
18.03.2020 08:30:05.353 GMT-0500,119.14200000000001,118.628,0.0008,0.0008
18.03.2020 08:30:05.403 GMT-0500,119.14200000000001,118.848,0.0008,0.0008
18.03.2020 08:30:05.454 GMT-0500,119.14200000000001,118.738,0.0008,0.0008
18.03.2020 08:30:05.623 GMT-0500,119.143,118.73700000000001,0.0008,0.0008
18.03.2020 08:30:05.796 GMT-0500,119.103,118.62700000000001,0.0008,0.002
18.03.2020 08:30:05.998 GMT-0500,119.102,118.62700000000001,0.0008,0.0008
18.03.2020 08:30:06.965 GMT-0500,118.852,118.508,0.0008,0.0008
18.03.2020 08:30:07.015 GMT-0500,118.84200000000001,117.958,0.0008,0.0008
18.03.2020 08:30:07.072 GMT-0500,118.84299999999999,118.117,0.002,0.0008
18.03.2020 08:30:08.818 GMT-0500,118.48200000000001,118.298,0.0008,0.0008
18.03.2020 08:30:08.868 GMT-0500,118.84299999999999,118.29700000000001,0.002,0.002
18.03.2020 08:30:08.919 GMT-0500,118.84200000000001,118.118,0.0008,0.0008
18.03.2020 08:30:10.767 GMT-0500,118.84200000000001,118.21799999999999,0.002,0.0008
18.03.2020 08:30:12.275 GMT-0500,118.84200000000001,118.228,0.002,0.0008
18.03.2020 08:30:12.408 GMT-0500,118.84200000000001,118.227,0.0008,0.0008
18.03.2020 08:30:12.458 GMT-0500,118.84200000000001,118.21799999999999,0.002,0.002
18.03.2020 08:30:13.413 GMT-0500,118.84200000000001,118.228,0.002,0.0008
18.03.2020 08:30:13.607 GMT-0500,118.84200000000001,118.21799999999999,0.0008,0.0008
18.03.2020 08:30:16.546 GMT-0500,118.84200000000001,118.228,0.002,0.002
18.03.2020 08:30:16.779 GMT-0500,118.84200000000001,118.21799999999999,0.002,0.002
18.03.2020 08:30:17.451 GMT-0500,118.84200000000001,118.228,0.002,0.0008
18.03.2020 08:30:17.551 GMT-0500,118.84200000000001,118.21799999999999,0.002,0.002
18.03.2020 08:30:17.602 GMT-0500,118.84200000000001,118.348,0.0008,0.0008
18.03.2020 08:30:18.599 GMT-0500,118.723,118.34700000000001,0.0008,0.0008
