Local time,Ask,Bid,AskVolume,BidVolume
24.03.2020 08:30:01.959 GMT-0500,110.443,110.147,0.002,0.002
24.03.2020 08:30:02.069 GMT-0500,110.42200000000001,110.148,0.0008,0.0008
24.03.2020 08:30:02.170 GMT-0500,110.423,110.087,0.002,0.002
24.03.2020 08:30:02.248 GMT-0500,110.40299999999999,110.087,0.0008,0.002
24.03.2020 08:30:02.603 GMT-0500,110.303,110.088,0.0008,0.0008
24.03.2020 08:30:02.703 GMT-0500,110.39200000000001,110.088,0.0008,0.0008
24.03.2020 08:30:02.862 GMT-0500,110.37200000000001,110.088,0.0008,0.0008
24.03.2020 08:30:03.000 GMT-0500,110.243,110.088,0.0008,0.0008
24.03.2020 08:30:03.053 GMT-0500,110.31200000000001,110.088,0.002,0.002
24.03.2020 08:30:03.203 GMT-0500,110.223,110.088,0.0008,0.0008
24.03.2020 08:30:03.304 GMT-0500,110.14200000000001,109.99799999999999,0.0008,0.0008
24.03.2020 08:30:03.420 GMT-0500,110.283,110.02700000000002,0.002,0.0008
24.03.2020 08:30:03.646 GMT-0500,110.33200000000001,109.99799999999999,0.0008,0.0008
24.03.2020 08:30:05.428 GMT-0500,110.253,109.99799999999999,0.0008,0.0008
24.03.2020 08:30:09.546 GMT-0500,110.242,109.228,0.002,0.002
24.03.2020 08:30:09.656 GMT-0500,110.242,109.238,0.002,0.002
24.03.2020 08:30:10.078 GMT-0500,110.242,109.228,0.0008,0.0008
24.03.2020 08:30:11.565 GMT-0500,110.23299999999999,109.23700000000001,0.0008,0.0008
24.03.2020 08:30:11.824 GMT-0500,110.242,109.228,0.0008,0.0008
24.03.2020 08:30:11.934 GMT-0500,110.23299999999999,109.227,0.0008,0.002
24.03.2020 08:30:12.236 GMT-0500,110.23200000000001,109.228,0.0008,0.0008
24.03.2020 08:30:12.759 GMT-0500,110.223,109.23700000000001,0.0008,0.0008
24.03.2020 08:30:12.859 GMT-0500,110.23299999999999,109.227,0.002,0.002
24.03.2020 08:30:13.580 GMT-0500,110.23200000000001,108.338,0.0008,0.0008
24.03.2020 08:30:14.078 GMT-0500,110.223,108.337,0.002,0.002
24.03.2020 08:30:14.299 GMT-0500,110.23299999999999,108.337,0.002,0.002
24.03.2020 08:30:14.556 GMT-0500,110.23200000000001,109.60799999999999,0.002,0.002
24.03.2020 08:30:15.521 GMT-0500,110.23200000000001,109.618,0.0008,0.0008
24.03.2020 08:30:15.670 GMT-0500,110.23200000000001,109.60799999999999,0.0008,0.0008
24.03.2020 08:30:16.168 GMT-0500,110.23200000000001,109.618,0.002,0.0008
24.03.2020 08:30:16.268 GMT-0500,110.23200000000001,109.60799999999999,0.0008,0.0008
24.03.2020 08:30:16.613 GMT-0500,110.23200000000001,109.787,0.0008,0.0008
24.03.2020 08:30:16.714 GMT-0500,110.23299999999999,109.787,0.002,0.002
24.03.2020 08:30:16.973 GMT-0500,110.053,109.787,0.0008,0.002
24.03.2020 08:30:17.333 GMT-0500,110.052,109.60799999999999,0.002,0.002
24.03.2020 08:30:17.383 GMT-0500,109.98200000000001,109.798,0.002,0.002
24.03.2020 08:30:17.433 GMT-0500,110.052,109.798,0.002,0.002
24.03.2020 08:30:17.735 GMT-0500,110.052,109.60799999999999,0.0008,0.0008
24.03.2020 08:30:17.842 GMT-0500,110.053,109.617,0.002,0.0008
24.03.2020 08:30:17.945 GMT-0500,110.053,109.82700000000001,0.0008,0.0008
24.03.2020 08:30:17.996 GMT-0500,110.25200000000001,109.60799999999999,0.002,0.002
24.03.2020 08:30:18.046 GMT-0500,110.253,109.98700000000001,0.002,0.002
24.03.2020 08:30:18.789 GMT-0500,110.14200000000001,109.98700000000001,0.0008,0.0008
24.03.2020 08:30:18.839 GMT-0500,110.14200000000001,109.93799999999999,0.0008,0.0008
24.03.2020 08:30:18.889 GMT-0500,110.143,109.95700000000001,0.002,0.002
24.03.2020 08:30:19.554 GMT-0500,110.14200000000001,109.95700000000001,0.0008,0.0008
24.03.2020 08:30:20.360 GMT-0500,110.14200000000001,110.007,0.0008,0.0008
24.03.2020 08:30:20.411 GMT-0500,110.12200000000001,109.93799999999999,0.0008,0.0008
24.03.2020 08:30:20.751 GMT-0500,110.12200000000001,108.618,0.0008,0.0008
24.03.2020 08:30:21.016 GMT-0500,110.11200000000001,108.618,0.0008,0.002
24.03.2020 08:30:21.257 GMT-0500,110.12200000000001,109.228,0.0008,0.0008
24.03.2020 08:30:22.505 GMT-0500,110.12200000000001,109.238,0.0008,0.0008
24.03.2020 08:30:22.671 GMT-0500,110.12200000000001,109.228,0.002,0.002
24.03.2020 08:30:24.056 GMT-0500,110.12200000000001,109.238,0.0008,0.0008
24.03.2020 08:30:24.504 GMT-0500,110.12200000000001,109.228,0.0008,0.0008
24.03.2020 08:30:25.067 GMT-0500,110.523,109.23700000000001,0.002,0.002
24.03.2020 08:30:25.118 GMT-0500,110.533,109.227,0.002,0.002
24.03.2020 08:30:25.644 GMT-0500,110.523,109.23700000000001,0.0008,0.0008
24.03.2020 08:30:25.787 GMT-0500,110.522,109.238,0.0008,0.0008
24.03.2020 08:30:25.837 GMT-0500,110.53200000000001,109.228,0.0008,0.0008
24.03.2020 08:30:26.732 GMT-0500,110.523,109.23700000000001,0.0008,0.0008
24.03.2020 08:30:26.833 GMT-0500,110.53200000000001,109.228,0.002,0.002
24.03.2020 08:30:28.934 GMT-0500,110.522,109.228,0.0008,0.0008
24.03.2020 08:30:28.985 GMT-0500,110.53200000000001,108.628,0.0008,0.0008
24.03.2020 08:30:29.102 GMT-0500,110.53200000000001,109.798,0.0008,0.0008
24.03.2020 08:30:29.864 GMT-0500,110.53200000000001,109.81700000000001,0.0008,0.0008
24.03.2020 08:30:30.015 GMT-0500,110.11200000000001,109.818,0.002,0.002
24.03.2020 08:30:30.385 GMT-0500,110.53200000000001,109.818,0.0008,0.0008
24.03.2020 08:30:31.432 GMT-0500,110.522,109.838,0.002,0.002
24.03.2020 08:30:31.607 GMT-0500,110.522,109.85700000000001,0.0008,0.0008
24.03.2020 08:30:31.722 GMT-0500,110.522,109.85799999999999,0.0008,0.002
24.03.2020 08:30:31.772 GMT-0500,110.53200000000001,109.85799999999999,0.0008,0.0008
24.03.2020 08:30:31.884 GMT-0500,110.53200000000001,109.878,0.0008,0.0008
24.03.2020 08:30:32.041 GMT-0500,110.113,109.87700000000001,0.0008,0.002
24.03.2020 08:30:32.220 GMT-0500,109.973,109.645,0.0008,0.0008
24.03.2020 08:30:32.270 GMT-0500,110.11200000000001,109.658,0.002,0.002
24.03.2020 08:30:32.454 GMT-0500,110.053,109.658,0.0008,0.0008
24.03.2020 08:30:33.410 GMT-0500,110.052,109.66799999999999,0.002,0.0008
24.03.2020 08:30:33.511 GMT-0500,110.052,109.658,0.0008,0.0008
24.03.2020 08:30:33.804 GMT-0500,110.052,109.788,0.0008,0.0008
24.03.2020 08:30:34.227 GMT-0500,110.053,109.787,0.0008,0.002
24.03.2020 08:30:34.277 GMT-0500,110.11200000000001,109.80799999999999,0.0008,0.0008
24.03.2020 08:30:34.327 GMT-0500,110.04299999999999,109.80700000000002,0.002,0.002
24.03.2020 08:30:34.378 GMT-0500,110.04299999999999,109.65700000000001,0.002,0.002
24.03.2020 08:30:34.482 GMT-0500,110.04200000000002,109.788,0.0008,0.0008
24.03.2020 08:30:35.142 GMT-0500,110.04299999999999,109.787,0.002,0.0008
24.03.2020 08:30:35.192 GMT-0500,110.04200000000002,109.66799999999999,0.0008,0.0008
24.03.2020 08:30:36.575 GMT-0500,110.04299999999999,109.66700000000002,0.002,0.0008
24.03.2020 08:30:36.676 GMT-0500,110.04200000000002,109.658,0.0008,0.0008
24.03.2020 08:30:37.603 GMT-0500,110.04200000000002,109.66799999999999,0.0008,0.0008
24.03.2020 08:30:37.703 GMT-0500,110.04200000000002,109.658,0.002,0.002
24.03.2020 08:30:38.795 GMT-0500,110.15200000000002,109.91799999999999,0.002,0.002
24.03.2020 08:30:38.845 GMT-0500,110.052,108.618,0.0008,0.0008
24.03.2020 08:30:38.967 GMT-0500,110.052,109.927,0.0008,0.0008
24.03.2020 08:30:39.018 GMT-0500,110.15200000000002,109.928,0.0008,0.0008
24.03.2020 08:30:39.075 GMT-0500,110.15200000000002,108.618,0.0008,0.0008
24.03.2020 08:30:39.220 GMT-0500,110.09200000000001,108.618,0.0008,0.0008
24.03.2020 08:30:39.363 GMT-0500,110.03200000000001,108.618,0.0008,0.0008
24.03.2020 08:30:39.861 GMT-0500,110.03200000000001,109.632,0.0008,0.0008
24.03.2020 08:30:39.912 GMT-0500,110.09200000000001,109.788,0.0008,0.0008
24.03.2020 08:30:39.972 GMT-0500,110.022,109.788,0.0008,0.0008
24.03.2020 08:30:40.864 GMT-0500,110.023,109.787,0.002,0.002
