Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2020-04-27,130.000000,130.309998,128.169998,128.300003,126.224770,5974600,WMT
2020-04-28,128.279999,130.240005,127.699997,128.000000,125.929619,6910700,WMT
2020-04-29,125.570000,125.760002,122.550003,123.599998,121.600784,14870700,WMT
2020-04-30,123.080002,123.440002,121.040001,121.550003,119.583954,13499300,WMT
2020-05-01,121.480003,123.690002,120.779999,122.919998,120.931778,10381300,WMT
2020-05-04,123.839996,124.400002,121.709999,123.699997,121.699173,5935900,WMT
2020-05-05,123.800003,125.260002,123.260002,124.730003,122.712509,6445800,WMT
2020-05-06,125.209999,125.489998,122.849998,123.300003,121.305641,5769700,WMT
2020-05-07,123.459999,123.980003,121.500000,121.889999,120.445953,9115200,WMT
2020-05-08,122.750000,123.010002,121.620003,122.940002,121.483521,6944400,WMT
2020-05-11,123.040001,124.309998,123.010002,123.669998,122.204865,8447300,WMT
2020-05-12,124.480003,125.660004,123.779999,123.779999,122.313560,6366700,WMT
2020-05-13,123.500000,126.239998,123.089996,123.709999,122.244385,9725100,WMT
2020-05-14,124.849998,125.129997,121.300003,123.419998,121.957825,7411000,WMT
2020-05-15,123.470001,125.940002,123.089996,125.940002,124.447975,10590000,WMT
2020-05-18,127.500000,128.559998,126.099998,127.660004,126.147591,13035900,WMT
2020-05-19,131.750000,131.990005,124.809998,124.949997,123.469696,24915400,WMT
2020-05-20,126.489998,126.589996,124.629997,125.449997,123.963768,10748800,WMT
2020-05-21,124.889999,126.139999,124.250000,124.989998,123.509216,7482700,WMT
2020-05-22,125.099998,125.349998,123.769997,124.330002,122.857048,7453200,WMT
2020-05-26,124.339996,125.510002,123.629997,123.860001,122.392609,7910200,WMT
2020-05-27,123.970001,124.489998,121.029999,122.480003,121.028969,10357900,WMT
2020-05-28,123.720001,124.949997,123.160004,123.690002,122.224632,8141600,WMT
2020-05-29,124.239998,124.709999,121.930000,124.059998,122.590240,9772400,WMT
2020-06-01,123.440002,124.410004,122.360001,123.959999,122.491432,6850100,WMT
2020-06-02,123.589996,124.150002,122.809998,123.940002,122.471664,6395900,WMT
2020-06-03,123.900002,123.989998,122.660004,123.470001,122.007240,6754300,WMT
2020-06-04,122.800003,123.889999,121.820000,122.110001,120.663345,8005000,WMT
2020-06-05,122.570000,122.680000,119.910004,121.559998,120.119858,13112400,WMT
2020-06-08,119.580002,121.239998,119.459999,121.239998,119.803650,9448100,WMT
2020-06-09,121.599998,122.000000,120.559998,121.349998,119.912346,6915400,WMT
2020-06-10,121.559998,122.500000,121.129997,121.160004,119.724602,9380500,WMT
2020-06-11,120.989998,122.580002,119.480003,120.089996,118.667274,11387600,WMT
2020-06-12,120.510002,120.750000,117.059998,117.739998,116.345116,10786400,WMT
2020-06-15,118.400002,118.680000,117.010002,118.080002,116.681091,10901100,WMT
2020-06-16,119.800003,120.230003,118.540001,119.650002,118.232491,8389200,WMT
2020-06-17,119.860001,120.129997,118.400002,119.029999,117.619827,6722300,WMT
2020-06-18,118.540001,119.059998,117.660004,117.989998,116.592148,6690000,WMT
2020-06-19,118.889999,120.300003,117.750000,119.849998,118.430122,13359600,WMT
2020-06-22,120.970001,122.089996,120.400002,121.680000,120.238434,9112800,WMT
2020-06-23,122.750000,122.849998,120.959999,121.070000,119.635666,6575900,WMT
2020-06-24,120.739998,121.120003,119.580002,120.300003,118.874794,6871600,WMT
2020-06-25,119.760002,120.160004,118.379997,119.709999,118.291779,6856600,WMT
2020-06-26,119.599998,120.839996,118.019997,118.320000,116.918243,8997200,WMT
2020-06-29,118.500000,119.680000,118.220001,119.059998,117.649475,5503800,WMT
2020-06-30,119.220001,120.129997,118.540001,119.779999,118.360954,6836400,WMT
2020-07-01,119.449997,119.919998,118.660004,119.690002,118.272018,6577900,WMT
2020-07-02,120.089996,120.879997,118.860001,119.209999,117.797699,5898600,WMT
2020-07-06,119.800003,119.870003,118.220001,118.889999,117.481491,7231700,WMT
